comment,sarc_majority
"[('shall',), ('deem',), ('coming',)]",non-sarc
"[('remember',)]",sarc
"[('auta',)]",non-sarc
"[('want',), ('pru',)]",sarc
"[('fun',)]",sarc
"[('began',), ('can',), ('rm',)]",sarc
"[('am',)]",non-sarc
"[('thank',)]",non-sarc
"[('assist',), ('is',)]",sarc
[nan],non-sarc
"[('dsn',), ('makes',), ('go',)]",non-sarc
[nan],non-sarc
"[('shaved',)]",sarc
"[('is',), ('pm',)]",non-sarc
"[('do',), ('has',), ('working',), ('cut',)]",non-sarc
"[('are',), ('going',), ('get',), ('want',), ('buy',), ('want',), ('do',), ('take',)]",non-sarc
"[('do',), ('buy',), ('mention',), ('was',), ('do',), ('know',), ('is',)]",sarc
"[('is',)]",sarc
"[('can',), ('be',), ('pay',)]",sarc
"[('yes',), ('is',), ('remember',)]",sarc
"[('thank',)]",non-sarc
[nan],non-sarc
[nan],non-sarc
"[('can',), ('be',), ('haha',)]",sarc
"[('is',)]",non-sarc
"[('is',), ('is',), ('hit',), ('forget',), ('can',), ('do',), ('realize',), ('squeeze',), ('can',), ('feel',), ('forget',)]",sarc
"[('do',), ('ask',), ('do',)]",sarc
[nan],non-sarc
"[('brim',), ('can',), ('pay',), ('does',), ('know',), ('be',)]",sarc
"[('can',)]",sarc
[nan],sarc
[nan],sarc
"[('work',), ('hmmm',)]",sarc
"[('was',)]",sarc
[nan],sarc
"[('was',), ('alahai',)]",sarc
[nan],non-sarc
[nan],non-sarc
"[('is',), ('want',), ('do',), ('want',)]",non-sarc
"[('engrossed',), ('go',)]",sarc
[nan],non-sarc
"[('getting',), ('pru',), ('saw',)]",sarc
[nan],sarc
"[('is',), ('going',), ('save',)]",sarc
[nan],non-sarc
"[('is',)]",sarc
"[('ate',), ('feel',), ('can',), ('come',)]",non-sarc
"[('is',), ('lightened',), ('want',), ('lasting',)]",sarc
"[('is',), ('have',)]",non-sarc
"[('can',), ('be',), ('want',), ('seemed',)]",sarc
[nan],non-sarc
[nan],non-sarc
"[('is',), ('misplaced',), ('has',)]",sarc
"[('can',), ('do',), ('jib',), ('brim',), ('will',), ('arrive',)]",non-sarc
[nan],sarc
"[('give',)]",non-sarc
[nan],sarc
"[('brim',)]",sarc
"[('can',), ('want',), ('give',), ('take',), ('soaring',), ('ends',)]",sarc
"[('be',)]",non-sarc
"[('can',)]",sarc
[nan],non-sarc
"[('hope',), ('does',), ('get',), ('wasnt',), ('parents',), ('take',), ('is',)]",non-sarc
[nan],non-sarc
"[('can',), ('believe',), ('have',)]",sarc
"[('is',), ('needs',), ('be',), ('assisted',)]",non-sarc
"[('exhausted',), ('sara',), ('is',), ('given',), ('is',), ('said',), ('had',), ('has',), ('destitute',), ('said',), ('said',), ('read',), ('are',), ('can',), ('is',), ('is',), ('said',), ('mahsyar',), ('was',)]",sarc
"[('are',), ('earn',), ('forgot',), ('are',)]",non-sarc
[nan],sarc
[nan],non-sarc
"[('help',)]",non-sarc
"[('aged',), ('is',)]",sarc
"[('is',)]",non-sarc
"[('contribute',), ('father',), ('may',), ('rebate',)]",non-sarc
"[('gratitude',), ('allah',), ('can',), ('load',)]",non-sarc
"[('release',), ('remain',)]",sarc
[nan],sarc
"[('impose',), ('is',)]",sarc
"[('is',), ('said',), ('mak',), ('is',), ('was',), ('saw',)]",sarc
"[('is',)]",sarc
"[('want',)]",sarc
"[('may',), ('get',), ('document',), ('buy',), ('is',), ('deducted',), ('included',)]",sarc
"[('should',), ('give',)]",non-sarc
[nan],non-sarc
[nan],non-sarc
"[('believe',), ('devastated',)]",non-sarc
"[('blasted',), ('do',), ('is',), ('was',), ('can',), ('be',)]",sarc
[nan],sarc
"[('saw',), ('has',), ('do',), ('thirty',), ('have',)]",sarc
"[('strengthen',), ('has',), ('run',), ('rembat',)]",non-sarc
"[('strengthening',)]",non-sarc
"[('is',)]",sarc
"[('strengthen',)]",sarc
"[('does',)]",sarc
[nan],sarc
"[('go',), ('fell',)]",sarc
"[('is',), ('profit',)]",sarc
"[('cheater',)]",sarc
"[('work',), ('was',), ('hanging',), ('saw',)]",non-sarc
[nan],sarc
"[('give',)]",sarc
"[('is',), ('are',), ('falling',), ('runs',), ('run',)]",sarc
"[('go',)]",non-sarc
"[('go',)]",sarc
[nan],sarc
"[('gst',), ('slaughtered',), ('gst',)]",non-sarc
"[('was',), ('mansuhkan',), ('charge',)]",sarc
"[('cogankata',), ('love',), ('get',), ('lost',)]",non-sarc
"[('does',), ('want',), ('please',), ('fill',), ('do',), ('talk',), ('want',), ('continue',)]",non-sarc
"[('was',)]",non-sarc
"[('referred',), ('said',), ('want',), ('be',), ('should',), ('be',), ('debated,',), ('gst',), ('print',), ('can',), ('be',), ('detected',), ('waiting',), ('be',), ('eat',), ('eat',)]",non-sarc
"[('were',), ('can',), ('second',), ('promised',)]",non-sarc
[nan],non-sarc
"[('pay',)]",non-sarc
"[('do',), ('support',), ('think',), ('is',), ('pay',), ('reducing',)]",sarc
"[('do',), ('need',), ('help',), ('wants',), ('is',)]",sarc
"[('is',), ('brim',), ('vote',)]",sarc
"[('can',), ('be',), ('began',), ('run',), ('is',), ('see',), ('requesting',), ('fit',), ('rose',), ('knew',), ('suffer',), ('can',), ('get',)]",non-sarc
[nan],non-sarc
"[('votes',), ('brim',)]",sarc
"[('resistant',), ('can',), ('do',), ('i',), ('make',), ('love',)]",sarc
[nan],sarc
"[('thought',), ('was',)]",non-sarc
"[('raise',), ('is',)]",sarc
"[('write',), ('is',)]",sarc
"[('raise',), ('can',), ('be',), ('exhausted',), ('do',), ('pay',)]",non-sarc
"[('does',), ('reach',), ('lighten',)]",non-sarc
"[('???',), ('can',), ('thank',), ('said',), ('asked',), ('have',), ('can',), ('try',), ('ask',), ('can',), ('be',), ('need',), ('think',)]",non-sarc
"[('am',), ('brim',)]",non-sarc
[nan],sarc
"[('shall',), ('brim',), ('hold',), ('is',)]",sarc
"[('is',), ('determined',), ('wrong',)]",sarc
"[('haha',)]",sarc
"[('heard',)]",non-sarc
"[('do',), ('afflict',)]",sarc
"[('is',), ('go',), ('rising',)]",sarc
"[('could',), ('live',), ('is',), ('was',), ('do',), ('have',), ('pay',), ('could',)]",non-sarc
"[('will',), ('vote',)]",non-sarc
"[('climbed',)]",sarc
"[('did',), ('hear',), ('was',), ('did',), ('scoop',)]",sarc
[nan],sarc
"[('condemned',), ('can',), ('try',), ('is',), ('take',), ('do',), ('featured',), ('vote',), ('is',), ('should',)]",sarc
"[('soaring',)]",non-sarc
"[('is',), ('lobbying',), ('wants',)]",sarc
"[('raise',), ('remember',), ('can',), ('correct',), ('brim',), ('go',)]",non-sarc
"[('keep',)]",non-sarc
"[('has',)]",sarc
"[('can',), ('brim',), ('was',), ('fell',), ('living',), ('do',), ('want',), ('be',), ('is',)]",sarc
"[('is',)]",non-sarc
"[('increased',)]",non-sarc
"[('stand',), ('drop',), ('somehow',), ('keeps',), ('going',), ('terje',)]",sarc
"[('is',)]",sarc
"[('can',), ('wait',), ('wait',)]",non-sarc
"[('write',), ('working',), ('pay',)]",non-sarc
"[('can',), ('jerk',), ('continues',)]",sarc
"[('disgusted',), ('can',), ('cover',), ('can',), ('be',)]",non-sarc
"[('collect',), ('bald',), ('malaysia',)]",sarc
"[('is',), ('ride',), ('increased',)]",non-sarc
"[('brim',), ('think',), ('is',), ('run',)]",non-sarc
"[('najib',)]",sarc
"[('brim',), ('can',), ('eat?',)]",non-sarc
"[('turned',), ('right',), ('will',), ('increase',), ('is',)]",sarc
"[('need',), ('was',), ('want',), ('pay',), ('restore',)]",sarc
"[('took',)]",non-sarc
"[('can',), ('brim',), ('jib',), ('was',), ('have',)]",sarc
"[('is',), ('be',)]",non-sarc
[nan],non-sarc
[nan],non-sarc
"[('giving',)]",non-sarc
"[('would',), ('be',)]",non-sarc
"[('can',), ('be',), ('resolved',)]",non-sarc
"[('does',), ('have',), ('saw',), ('talking',), ('was',), ('disgusted',)]",non-sarc
"[('fool',), ('remember',), ('see',)]",non-sarc
"[('is',), ('spending',), ('was',)]",sarc
"[('tell',), ('is',)]",non-sarc
[nan],non-sarc
"[('represent',), ('can',), ('be',), ('expected',), ('rise',)]",sarc
"[('do',), ('want',), ('feel',)]",non-sarc
"[('suffocating',)]",non-sarc
"[('pissing',), ('know',)]",non-sarc
"[('hundred',), ('alahai',)]",sarc
[nan],non-sarc
"[('set',), ('create',)]",non-sarc
"[('drain',), ('wanted',), ('want',), ('be',)]",non-sarc
"[('balanced',)]",sarc
"[('see',), ('ask',)]",non-sarc
"[('is',)]",sarc
"[('apsalar',), ('create',), ('remember',), ('can',), ('buy',), ('do',), ('chat',), ('does',), ('monitor',), ('maintain',), ('go',), ('is',), ('themed',)]",sarc
"[('will',), ('hubcap',)]",sarc
"[('does',), ('reduce',), ('living',), ('scoop',), ('are',), ('should',), ('be',), ('removed',), ('reduced',), ('be',), ('went',), ('boarding',), ('become',), ('make',), ('can',), ('be',)]",non-sarc
"[('was',)]",non-sarc
[nan],sarc
"[('is',)]",sarc
"[('support',)]",sarc
[nan],non-sarc
"[('have',)]",non-sarc
"[('know',), ('want',), ('rose',)]",sarc
"[('pm',)]",non-sarc
"[('made',), ('shame',), ('maligned',), ('tell',), ('come',), ('realized',), ('was',), ('ashamed',), ('is',), ('hated',)]",non-sarc
"[('owe',)]",sarc
"[('lives',)]",non-sarc
[nan],non-sarc
"[('languish',), ('try',)]",sarc
"[('make',)]",sarc
[nan],non-sarc
"[('tell',), ('say',), ('do',), ('trust',)]",non-sarc
"[('take',), ('is',)]",non-sarc
"[('is',), ('presented',), ('want',), ('take',), ('living',), ('increasing',), ('will',), ('see',), ('is',), ('going',), ('could',), ('lower',)]",sarc
"[('prepare',), ('is',), ('was',)]",non-sarc
[nan],non-sarc
"[('has',), ('come',), ('does',), ('oppose',), ('can',), ('go',), ('???people',)]",non-sarc
[nan],sarc
[nan],sarc
"[('t',)]",non-sarc
"[('remember',), ('eat',)]",sarc
"[('is',), ('increase',), ('went',)]",sarc
"[('is',), ('do',), ('know',), ('jackass',), ('got',)]",non-sarc
"[('should',), ('be',), ('rm',), ('had',), ('peninsula',)]",non-sarc
[nan],non-sarc
[nan],non-sarc
"[('is',), ('is',), ('barisan',), ('has',), ('link',), ('stamp',)]",non-sarc
"[('eat',)]",sarc
"[('does',), ('understand',), ('differentiate',), ('is',), ('can',), ('live',)]",non-sarc
"[('had',)]",sarc
"[('must',), ('is',), ('said',), ('sarawak',), ('hate',), ('sabah',)]",sarc
"[('is',), ('does',), ('rise',)]",sarc
"[('do',), ('hear',)]",sarc
"[('do',), ('have',), ('use',)]",sarc
[nan],sarc
"[('do',), ('remember',), ('want',), ('live',)]",sarc
"[('is',), ('is',)]",non-sarc
"[('has',), ('been',), ('adjusted',), ('had',), ('pay',), ('is',), ('is',), ('square',), ('ask',)]",non-sarc
"[('is',)]",sarc
"[('buying',), ('online',), ('pm',), ('jackass',)]",sarc
[nan],non-sarc
"[('is',)]",non-sarc
[nan],sarc
"[('remember',), ('was',), ('pay',)]",sarc
"[('has',), ('enforce',), ('let',), ('lies',)]",non-sarc
"[('should',), ('peninsula',), ('know',), ('testicles',), ('gonna',), ('pay',)]",non-sarc
"[('is',), ('is',), ('is',), ('amine',)]",non-sarc
"[('is',), ('is',)]",sarc
"[('cheated',)]",sarc
"[('waiting',)]",non-sarc
"[('is',), ('is',)]",non-sarc
"[(""i'm"",), ('think',), ('is',), ('sabah',), ('came',)]",non-sarc
"[('have',), ('increased',), ('can',), ('be',), ('put',), ('can',), ('be',)]",non-sarc
"[('lha',)]",non-sarc
"[('is',), ('seemed',)]",non-sarc
"[('fooled',), ('fooled',)]",sarc
"[('should',), ('be',), ('are',), ('has',), ('najib',)]",non-sarc
"[('are',), ('satisfied',), ('sarawak',), ('live',)]",non-sarc
"[('weighing',), ('sided',)]",sarc
"[('does',), ('oppose',)]",non-sarc
"[('lopsided',), ('n',), ('align',), ('was',)]",non-sarc
"[('remember',), ('is',), ('know',)]",non-sarc
"[('had',), ('been',), ('can',), ('vary',), ('marketing',), ('titled',), ('do',), ('know',), ('be',), ('excited',), ('print',), ('is',), ('is',), ('be',), ('sabah',)]",sarc
"[('is',)]",sarc
"[('is',), ('is',), ('have',), ('know',), ('will',), ('want',), ('pay',)]",sarc
[nan],sarc
[nan],non-sarc
[nan],sarc
"[('want',), ('manage',)]",non-sarc
[nan],sarc
"[('wants',), ('raise',), ('pay',), ('fool',)]",non-sarc
"[('say',), ('is',)]",sarc
"[('will',), ('be',), ('subdivided',)]",sarc
"[('is',), ('sarawak',), ('haha',)]",sarc
"[('is',), ('folded',), ('pru',), ('is',), ('helping',), ('gave',), ('is',), ('is',), ('are',), ('fed',), ('know',)]",sarc
"[('should',), ('goes',)]",sarc
"[('increase',), ('shall',), ('be',), ('will',), ('equal',), ('remember',), ('is',), ('increases',), ('would',), ('have',), ('charge',), ('will',), ('increase',), ('raise',), ('take',), ('does',), ('matter',), ('own',), ('is',), ('think',), ('raise',), ('i',), ('sell',)]",non-sarc
"[('are',), ('wearing',), ('is',)]",sarc
"[('exists',)]",non-sarc
"[('had',), ('bangang',), ('somehow',), ('did',), ('know',)]",non-sarc
"[('is',), ('makes',)]",sarc
"[('are',)]",sarc
"[('do',), ('equal',), ('said',), ('is',), ('synchronize',)]",non-sarc
"[('made',), ('be',)]",sarc
"[('is',), ('is',)]",non-sarc
[nan],sarc
"[('is',), ('eat',)]",sarc
[nan],non-sarc
"[('is',), ('want',), ('compare',), ('is',), ('suck',)]",sarc
"[('is',), ('said',), ('have',), ('le',), ('was',), ('is',), ('ss',), ('should',), ('pay',), ('is',), ('take',)]",sarc
"[('do',), ('understand',), ('is',), ('was',), ('removed',)]",non-sarc
"[('is',), ('ape',), ('should',), ('pay',)]",sarc
"[('given',), ('travel',), ('borne',), ('salary',), ('seem',), ('seized',)]",sarc
"[('keep',), ('vote',)]",sarc
[nan],sarc
"[('is',), ('is',), ('do',), ('rise',), ('are',), ('rising',), ('remember',), ('sending',), ('transport',), ('will',), ('increase',)]",non-sarc
"[('have',), ('have',)]",sarc
"[('start',), ('was',)]",sarc
[nan],non-sarc
"[('want',), ('eat',), ('do',), ('have',), ('say',), ('let',)]",non-sarc
"[('is',), ('is',), ('want',), ('live',)]",sarc
"[('was',), ('seen',), ('is',), ('needed',)]",sarc
"[('sarawak',), ('know',), ('sidelined',), ('is',)]",sarc
"[('sir',), ('fixed',), ('ss',), ('donated',), ('does',)]",sarc
"[('is',), ('suppressed',)]",non-sarc
"[('wretched',)]",non-sarc
"[('had',)]",sarc
"[('do',), ('blame',), ('claiming',), ('referendum',), ('is',), ('thought',), ('want',), ('come',), ('can',), ('opt',)]",non-sarc
"[('rose',), ('saw',), ('skt',), ('has',), ('been',), ('working',), ('increase',), ('debated',), ('mean',), ('rose',), ('is',), ('disgusted',)]",sarc
[nan],sarc
"[('rm',), ('living',), ('eat',), ('drink',), ('does',), ('buy',), ('runs',)]",sarc
"[('is',)]",sarc
"[('equal',), ('is',), ('biased',), ('must',), ('be',)]",non-sarc
"[('is',)]",non-sarc
"[('pay',), ('do',), ('want',), ('pay',), ('gst',), ('want',), ('pay',), ('want',), ('have',), ('made',), ('can',), ('weii',)]",sarc
"[('can',), ('pay',), ('have',), ('support',), ('can',), ('pay',), ('goes',)]",sarc
"[('does',), ('matter',), ('let',), ('go',), ('can',), ('do',)]",sarc
"[('dsn',)]",non-sarc
"[('kesiannya',)]",sarc
"[('do',), ('rise',)]",sarc
"[('is',), ('can',), ('be',)]",non-sarc
"[('match',)]",sarc
"[('is',)]",non-sarc
"[('is',), ('can',), ('remain',), ('was',), ('sitting',), ('was',)]",sarc
"[('sarawak',), ('clerks',), ('can',), ('be',)]",non-sarc
"[('is',), ('do',), ('vote',), ('bury',)]",sarc
"[('is',), ('are',), ('can',), ('poop',)]",non-sarc
"[('wonder',), ('is',), ('peninsular',), ('will',), ('have',), ('paying',), ('claimed',), ('do',), ('think',)]",sarc
"[('sabah',), ('have',), ('been',), ('biased',)]",sarc
"[('note',), ('wearing',), ('is',), ('was',), ('had',), ('wait',), ('do',)]",sarc
"[('is',), ('must',), ('be',), ('did',), ('know',), ('is',)]",sarc
"[('pack',), ('favor',), ('are',)]",non-sarc
"[('should',), ('be',), ('remembered',), ('raise',), ('do',), ('think',), ('was',), ('pay',), ('has',), ('increased',), ('can',), ('take',), ('take',), ('is',), ('settle',), ('using',)]",non-sarc
"[('compared',), ('sarawak',), ('came',), ('be',)]",non-sarc
"[('had',), ('dared',), ('speak',), ('are',)]",sarc
"[('does',), ('haha',)]",sarc
"[('pay',), ('said',)]",sarc
"[('is',), ('is',), ('is',)]",non-sarc
"[('dust',), ('shall',), ('make',), ('does',), ('do',), ('asked',)]",sarc
"[('was',), ('weii',)]",non-sarc
[nan],sarc
"[('went',), ('see',), ('were',), ('can',), ('ask',), ('continue',), ('meeting',), ('biased',)]",sarc
"[('remain',), ('take',), ('is',), ('boarding',), ('can',), ('clean',), ('will',), ('be',), ('stepson',)]",sarc
"[('are',), ('is',), ('can',), ('win',), ('is',), ('stay',)]",sarc
"[('played',)]",sarc
"[('is',), ('can',), ('tell',)]",sarc
"[('is',), ('sitting',), ('remember',), ('swear',), ('is',), ('ask',), ('be',), ('considered',), ('are',), ('working',), ('salaries',)]",sarc
"[('remember',), ('has',), ('earned',), ('eat',), ('choke',), ('sitting',), ('think',), ('cursed',)]",non-sarc
"[('discrimination',), ('pay',)]",non-sarc
[nan],sarc
[nan],sarc
"[('is',), ('go',), ('pay',), ('can',), ('grow',), ('can',), ('go',), ('go',), ('is',), ('is',)]",non-sarc
"[('go',), ('continue',), ('talking',)]",sarc
"[(""what's"",), ('was',), ('said',)]",sarc
"[('asked',), ('docking',), ('eat',), ('drink',), ('was',), ('buy',)]",sarc
"[('is',), ('would',), ('pay',)]",sarc
"[('do',), ('want',), ('be',), ('adjusted',)]",non-sarc
"[('is',)]",sarc
"[('do',), ('be',), ('fooled',), ('are',), ('is',)]",sarc
"[('is',), ('sabah',), ('may',), ('be',), ('come',), ('want',), ('advance',)]",non-sarc
"[('said',), ('done',), ('will',), ('continue',), ('cover',), ('haha',)]",sarc
"[('is',), ('going',), ('eat',), ('have',), ('pay',), ('shop',), ('pay',), ('is',), ('have',), ('do',), ('is',), ('seems',), ('tail',)]",non-sarc
"[('want',), ('take',), ('is',), ('playing',), ('win',), ('include',), ('is',), ('is',), ('can',), ('say',), ('will',), ('change',)]",non-sarc
"[('was',), ('is',)]",sarc
"[('god',)]",sarc
"[('boy',), ('has',), ('do',), ('need',), ('live',)]",non-sarc
"[('is',)]",sarc
"[('will',), ('continue',), ('be',), ('stoned',)]",sarc
"[('is',), ('have',), ('gone',)]",sarc
"[('was',), ('ask',)]",sarc
[nan],sarc
[nan],sarc
[nan],sarc
"[('think',), ('has',), ('sabah',), ('cross',), ('is',), ('knee',)]",non-sarc
"[('is',)]",sarc
"[('wiped',)]",sarc
"[('do',), ('need',)]",sarc
"[('want',), ('enter',), ('do',), ('work',), ('filled',)]",sarc
"[('is',)]",sarc
"[('began',), ('had',), ('first',)]",sarc
"[('support',)]",non-sarc
"[('is',), ('can',), ('hold',)]",non-sarc
"[('are',)]",sarc
"[('have',), ('wait',), ('lah',)]",sarc
"[('would',), ('become',), ('advanced',)]",sarc
"[('is',), ('sabah',), ('be',)]",non-sarc
"[('living',), ('can',), ('print',)]",sarc
"[('remember',), ('eat',), ('kah',), ('parents',), ('is',), ('compared',), ('is',), ('said',), ('be',), ('are',)]",sarc
"[('is',), ('raise',), ('is',)]",non-sarc
"[('did',), ('do',), ('dream',)]",sarc
"[('do',), ('select',), ('is',), ('is',), ('pay',), ('have',)]",sarc
"[('does',), ('know',), ('living',), ('can',), ('synchronize',)]",sarc
"[('tune',), ('is',), ('going',)]",sarc
"[('sarawak',), ('is',), ('has',), ('sidelined',)]",sarc
"[('should',), ('be',), ('given',)]",sarc
"[('said',), ('is',), ('should',), ('be',), ('pay',), ('have',), ('make',)]",sarc
"[('coordinate',)]",sarc
"[('can',), ('defeat',), ('has',), ('had',)]",sarc
"[('let',), ('synchronize',), ('want',), ('make',), ('fair',), ('rm',), ('was',)]",sarc
[nan],sarc
"[('was',), ('_',)]",sarc
[nan],sarc
"[('will',), ('be',), ('pay',)]",non-sarc
[nan],non-sarc
"[('was',), ('pester',)]",sarc
"[('remember',), ('haha',), ('have',)]",sarc
[nan],non-sarc
