comment_eng,sarc_majority
"['budget', 'last', 'long', 'budget', 'pru', 'going', 'budget']",sarc
"['story', 'paper', 'looks', 'nice', 'like', 'seblom', 'result', 'facing', 'end', 'year', 'star', 'next', 'year', 'saw', 'people', 'back']",sarc
"['function', 'budget', 'underpaid', 'young', 'people', 'anything', 'else', 'interesting']",non-sarc
"['understand', 'properly', 'minimum', 'wage', 'sabah', 'sarawak', 'w', 'go', 'labuan', 'rm', 'months', 'goods', 'expensive', 'peninsula', 'minimum', 'wage', 'rm', 'months', 'wal', 'things', 'government', 'employees', 'outside', 'region', 'one', 'regional', 'allowance', 'grade', 'n', 'rm', 'try', 'sabah', 'sarawak', 'labuan', 'wp', 'peninsula', 'rm', 'weird', 'weird', 'really', 'unfair']",sarc
"['good', 'budget']",sarc
"['budget', 'year', 'budget', 'cronies', 'vacuum']",non-sarc
"['receive', 'donations', 'budget', 'people', 'today', 'pay', 'gst', 'facts']",non-sarc
"['head', 'testicles', 'need']",non-sarc
"['pru', 'pay', 'attention', 'last', 'ingot', 'people', 'go', 'difficult', 'long', ""i'm"", 'alive', 'happy', 'cronies', 'puii']",sarc
"['pru', '???', 'tag', 'line', 'hear', 'pulse', 'people', '???']",sarc
"['ask', 'mufti', 'azan', 'kfc', ""uncle's"", 'ear']",sarc
"['stretch', 'stretch', 'people', 'makes', 'different']",non-sarc
"[""i'm"", 'tired', 'hearing', 'budget', 'also', 'run', 'budget']",sarc
"['b', 'budget', 'inches', 'thick', 'face', 'shameless']",sarc
"['phobias', 'look', ""he's"", 'right']",sarc
"['budjet', 'rosmah', 'mansur', 'cabinet', 'sycophant', 'najib']",sarc
"['ingot', 'r', 'lazy', 'self', 'najib', 'budget']",non-sarc
"['cool', 'budget']",sarc
"['tapir', 'dock', 'caya']",sarc
"['blotted', 'gst']",non-sarc
"['landscape', 'waste', 'time', 'bandits', 'masked', 'devil', 'budget']",sarc
"['believe', 'najib', 'deceived', 'people', 'oppressed', 'minister', 'right', 'eat', 'people']",sarc
"['people', 'taking', 'things', 'gonna', 'breathe', 'air', 'pass', 'payable', 'shall', 'adopted', 'water', 'purifier']",sarc
"['budget', 'dead', 'people']",sarc
"['chills', 'felt', 'like', 'wanted', 'stretch', 'budget', 'afternoon', 'haha']",sarc
"['trick', 'long', 'wants', 'rake', 'money', 'people', 'long', 'difficult', 'dredges', 'xpk', 'people', 'happy', 'idiot', 'minister', 'najib', 'wood']",sarc
"['self', 'dead', '-_-']",sarc
"['kid', 'tone', 'voice', ""let's"", 'see', 'touches']",sarc
"['budget', 'strengthen', 'position', 'pm', 'people,', 'years', 'began', 'wring', 'neck', 'people', 'rosmah', 'cache', 'afro', 'hair']",sarc
"['gst', 'people', 'greatest', 'gifts', 'najib', 'malaysians']",sarc
"['bag', 'trick', 'fraud']",sarc
"['unfulfilled', 'budget', 'commotion', 'wait', 'pleasure', 'comes', 'next', ""year's"", 'budget', 'burden', 'left', 'waiting', 'joy', 'torture', 'expect']",sarc
"['stop', 'smile', 'noh', 'b', 'unaffected', 'say', 'troublesome', 'tribal', 'people']",sarc
"['gst', 'help', 'government', 'said', 'capable', 'paying', 'income', 'tax', 'income', 'thanks', 'indeed', 'millions', 'infant', 'per', 'month']",sarc
"['calamity', 'befall']",sarc
"['najib', 'great', 'great', 'fool']",sarc
"['book', 'bag', 'debt']",non-sarc
"['kid', 'scanned', 'troublesome', 'point', 'brim', 'go', 'shopping', 'already', 'reached', 'kitchen', 'try', 'cancel', 'hundred', 'incoming', 'gst', 'gst', 'relieved', 'government', 'choke', 'blood', 'wrong', 'kind']",sarc
"['budget', 'planners']",non-sarc
"['unconscious', 'plague', 'lengthwise']",non-sarc
"['wring', 'gst', 'hit', 'right', 'needs', 'people', 'said', 'people', 'suffer', 'najib']",sarc
"['felda', 'n', 'budget', 'government', 'business', 'private', 'work', 'please', 'go', 'dead']",sarc
"['hypocrisy', 'chat']",sarc
"['none', 'coat', 'budget', 'economy', 'needs', 'n', 'najib', 'rosmah']",sarc
"['najib', 'budget', 'year', 'increased', 'wealth', 'extravagant', 'rosmah']",sarc
"['malaysia', 'forward', 'rather', 'backward']",sarc
"['sugar', 'budget', 'minister', 'hear', 'fan', 'away', 'tomorrow', 'minister', 'said', 'good', 'nothing', 'good', ""minister's"", 'feet', 'full', 'fan', 'account']",sarc
['useless'],non-sarc
"['themed', 'swipe', 'smooth', 'budget']",sarc
"['see', 'look', ""he'm"", 'tired', 'mention', 'style', 'crap']",non-sarc
"['malaysia', 'backwards']",non-sarc
"['budget', 'people', 'think', 'year', 'feels', 'right', 'definitely', 'needs', 'goods', 'rose', 'oil', 'umno', 'pig']",non-sarc
"['dsn', 'congratulations', 'budget', 'promises', 'fulfilled', 'economic', 'needs', 'people', 'promote', 'economic', 'burden', 'inconvenience', 'people', 'promise', 'kept']",sarc
"['pelir', 'budget', 'paper', 'great', 'create', 'dust']",sarc
"['budget', 'rosmah', 'many', 'millions', 'going', 'shopping', 'abroad', 'forget', 'also']",sarc
"['devils', 'bring', 'milk']",non-sarc
['boring'],non-sarc
"['budget', 'real', 'economy', 'abound', 'najib', 'n', 'crony', 'economic', 'needs', 'people', 'said']",sarc
"['najib', 'despicable', 'eyes', 'people', 'vote', 'vote', 'maybe', 'feel', 'noblest']",sarc
"['budget', 'simply', 'cheating', 'paper']",sarc
"['take', 'back', 'coat', 'coat', 'bit', 'took', 'back', 'many', 'budget', 'year', 'najib']",sarc
"['waste', 'time']",non-sarc
"['government', 'needs', 'pay', 'back', 'debt', 'najib', 'congratulates', 'raise', 'next', 'year']",sarc
"['want', 'scan', 'najib', 'pm', 'thieves', 'swindlers']",non-sarc
"['hit', 'strong', 'future']",non-sarc
"['budget', 'believe', 'garrulous']",non-sarc
"['gst', 'quotation', 'accommodate', 'decrease', 'crude', 'oil', 'prices', 'victims', 'head', 'name']",sarc
"['difficult', 'budget', 'malaysians']",non-sarc
"['bag', 'defects', 'make', 'stupid', 'cheat', 'people']",sarc
"['hell', 'budget', 'economy']",non-sarc
"['ooi', 'jib', 'budget', ""tomorrow's"", 'payday', 'exhausted', 'people', 'live', 'delusion']",sarc
"['title', 'already', 'one', 'economic', 'needs', 'rosmah', '???', '???the', 'new', 'right']",sarc
"['stretch', 'budget', 'budget']",sarc
"['go', 'die', ""you've"", 'got', 'budget']",non-sarc
"[""it's"", 'paper', 'later', 'realize', 'minister', 'najib', 'n', 'economists', 'say', 'best', 'budget', 'century']",sarc
['testicles'],non-sarc
"['really', 'budget', 'later', 'said', 'people', 'behind', 'robbery', 'correct', 'gst', 'hike', 'oil', 'prices', 'various', 'tax']",sarc
['staring'],sarc
"['vote', 'confidence', 'star', 'kid', 'way', 'avoid', 'going', 'daily', 'budget', 'news', 'said', 'wanted', 'ampu', 'puii', ""i'm"", 'sick', 'strategy', 'going', 'remain', 'pm', 'najib', 'evil', 'keep', 'going', 'pru', 'also', 'continue', 'go', 'jail']",sarc
"['budget', 'wood', 'cabinet']",sarc
"['strong', 'pockets', 'gang', 'najib']",sarc
"['solid', 'manure', 'palat']",sarc
['best'],sarc
"['nice', 'yummy', 'read', 'news', 'read', 'essentially']",sarc
"['chart', 'necessarily', 'right', 'sweet', 'like', 'sugar', 'bitter', 'end']",sarc
"['civil', 'servants', 'private', 'existing', 'cost', 'living,', 'higher', 'salary', 'enough', 'eat', 'languished', 'end', 'month', 'haha']",sarc
"['najib', 'easy', 'person', 'working', 'next', 'government', 'make', 'sure', 'panting', 'najib', 'stronger']",sarc
['sugar'],sarc
"['past', 'delicious', 'government']",sarc
"['work', 'people', 'working', 'fishing', 'village', 'tap', 'rubber', 'tread', 'even', 'sen', 'mean']",non-sarc
"['private', 'sector', 'workers', 'ignored']",non-sarc
"['verbiage', 'civil', 'servants', 'pay', 'taxes', 'pay', 'private', 'gst', 'gonna', 'pru', 'ea', 'time', 'flatter', 'private', 'groups', 'vote', 'evening', 'najib']",sarc
"['political', 'najib', 'win', 'votes', 'elections', 'later']",sarc
"['civil', 'servants', 'choke']",non-sarc
"['last', 'lively', 'discussion', 'going', 'cross', 'line', 'ye', 'national', 'best']",sarc
['father'],sarc
"['took', 'money', 'much', 'say']",sarc
"['funny', 'haha']",sarc
"['bak', 'said', 'mr', 'najib', 'enough', 'shopping', 'rm', 'month', 'overnight', 'buy', 'goods', 'dah', 'rm']",sarc
"['apparently', 'civil', 'servants']",sarc
"['rm', 'envy', 'private', 'employee', 'self-reflection']",non-sarc
"['billion', 'billion', 'million', 'million', 'government', 'money', 'properly', 'enough', 'quietly', 'borrow', 'increased', 'national', 'debt', 'going', 'noise']",sarc
"['fortunately', 'government']",sarc
"['good', 'riddance', 'later', 'wring', 'gst', 'kow', 'next', 'year', 'haha']",sarc
['sugar'],sarc
"['rm', 'gives', 'even', 'hold', 'year', 'ten', 'years']",sarc
"['civil', 'servants', 'private', 'company', 'months', 'salty', 'booger', 'jib']",sarc
"['want', 'delete', 'brim', 'right', 'gst', 'subsidy', 'oil', 'help', 'people']",non-sarc
"['planning', 'believe']",sarc
"['one', ""country's"", 'corruption', 'rm', 'agreement', 'lift', 'secrecy', 'oath', 'protect', 'cons', 'leader']",non-sarc
"['pay', 'car', 'home', 'reason', 'thank', 'god', 'life', 'find', 'bite', 'rice', ""i'm"", 'grateful']",non-sarc
"['coly', 'rosmah', 'buy', 'side']",sarc
"['haha', 'private', 'outings']",sarc
"['private', 'sit', 'agape', 'pay', 'taxes', 'thank', 'dust']",sarc
"['previously', 'government', 'money', 'wide', 'brim', 'example', 'vouchers', 'books', 'like', 'trying', 'explain', 'pm', 'thankful', 'gods', 'pull', 'back', 'fact', 'snap']",non-sarc
"['okay', 'hold']",sarc
"['provision', 'shall', 'deem', 'coming', 'thank', 'god']",non-sarc
"['wow', 'remember', 'much']",sarc
"['balaci', 'najib', 'feet', 'auta']",non-sarc
"['rm', 'want', 'pru', 'half', 'months', 'stupid', 'najib']",sarc
"['le', 'fun', 'government', 'work']",sarc
"['najib', 'began', 'praise', 'haha', 'nice', 'gst', 'last', 'year', 'gst', 'bonus', 'pay', 'year', 'last', 'month', 'rm', 'gst']",sarc
['dead'],non-sarc
"['thank', 'luck', 'though']",non-sarc
"['assist', ""people's"", 'burden', 'haha']",sarc
"['grateful', 'potluck']",non-sarc
"['najib', 'congratulates', 'dsn', 'thank', 'quiet', 'high', 'morale', 'budget', 'makes', 'opposition', 'e', 'l', 'n', 'g', 'go', 'hall']",non-sarc
['standard'],non-sarc
"['shave', 'shaved', 'bald']",sarc
"['immediate', 'fate', 'thanks', 'pm']",non-sarc
"['yes', 'dato', 'basic', 'work', 'good', 'reason', 'gst', 'article', 'illegal', 'overtime', 'working', 'company', 'cut', 'free']",non-sarc
"['things', 'going', 'get', 'want', 'lot', 'bonuses', 'buy', 'new', 'shares', 'thousands', 'comments', 'ooi', 'want', 'take']",non-sarc
"['worshippers', 'buy', 'clothes', 'pair', 'shoes', 'mention', 'book', 'bag', 'enough', 'child', 'child', 'em', 'know', 'cost', 'living', 'meager', 'salary']",sarc
"['private', 'taxable', 'hope', 'year-end', 'bonus', 'verbiage']",sarc
"['salaries', 'thousands', 'blind', 'thousands', 'us', 'pay', 'thousand']",sarc
"['ooi', 'lala', 'yes', 'best', 'remember']",sarc
"['thank', 'thank', 'thank', 'government']",non-sarc
['thank'],non-sarc
['thank'],non-sarc
"['rm', 'fortunately', 'private', 'parts', 'anyway', 'haha']",sarc
"['everything', 'expensive', 'enough']",non-sarc
"['ok', 'direct', 'malay', 'indeed', 'susceptible', 'new', 'sugar', 'hit', ""for'm"", 'sokak', 'fun', 'forget', 'realize', 'mr', 'najib', 'day', 'squeeze', 'money', 'people', 'today', 'feel', 'good', 'bonus', 'day', 'tomorrow', 'bonus', ""he's"", 'also', 'forget', 'kah']",sarc
"['malaysians', 'ask', 'money', 'brim', 'support', 'burden', 'people', 'practice', 'money']",sarc
"['rm', 'payable', 'fold']",non-sarc
"['aii', 'brim', 'pay', 'rises', 'bonuses', 'rm', 'know', 'grateful']",sarc
"['every', 'year', 'also']",sarc
"['never', 'grateful', 'government', 'government', 'school', 'children']",sarc
"['wow', 'many', 'ampera']",sarc
"['civil', 'servants', 'work', 'jobs', 'hmmm']",sarc
"['last', 'year', 'half', 'next', ""year's"", 'salary', 'last', 'year', 'haha']",sarc
"['create', 'connection', 'back', 'okay']",sarc
"['hmm', 'half', 'month', 'salary', 'difficult']",sarc
"['stingy', 'jib']",non-sarc
['thank'],non-sarc
"['gratitude', 'people', 'want', 'want', 'money', 'charity', 'right']",non-sarc
"['thanks', 'complaint', 'engrossed', 'nak', 'nak', 'things', 'go', '-', '-']",sarc
"['thank', 'learn', 'thankful']",non-sarc
"[""i'm"", 'getting', 'pru', 'dky', 'good', 'game,', 'saw', 'need', 'najib']",sarc
"['haha', 'people', 'clown']",sarc
"['going', 'save', 'money', 'jib']",sarc
"['pig', 'pm']",non-sarc
"['civil', 'servants', 'close', 'malaysian', 'citizens']",sarc
"['haha', 'nearly', 'ate', 'maggi', 'desperate', 'time', 'feel', 'good', 'come', 'nothing', 'thanks', 'verbiage']",non-sarc
"['blind', 'already', 'month', 'ratio', 'lightened', 'burden', 'people', 'instead', 'money', 'people', 'want', 'lasting', 'anywhere']",sarc
"['profit', 'civil', 'servants', 'private', 'sector', 'alone', 'yet']",non-sarc
"['fine', 'last', 'year', 'half', 'month', 'salary', 'later', 'year', 'new', 'kid', 'want', 'new', 'election', 'month', 'salary', 'seemed', 'corrupt']",sarc
"['yay', 'grandfather', 'jib', 'money']",non-sarc
"['half', ""month's"", 'salary', 'remind', 'haha']",non-sarc
"['jib', 'misplaced', 'office', 'lot', 'little', 'rembat']",sarc
"['loss', 'civil', 'servants', 'jib', 'brim', 'ingot', 'pru', 'arrive']",non-sarc
['sugar'],sarc
"['people', 'give', 'thanks']",non-sarc
[],sarc
"['haha', 'haha', 'brim']",sarc
"['monthly', 'salary', 'even', 'want', 'give', 'kah', 'take', 'gst', 'air', 'chat', 'billion', 'billion', ""economy's"", 'soaring', 'ends', 'brother']",sarc
"['rm', 'also', 'ahamdulillah']",non-sarc
"['proper', 'tax', 'relief', 'people', 'like', 'benefits']",sarc
['amen'],non-sarc
"['hope', 'get', 'money', 'wasnt', 'parents', 'responsibility', 'take', 'care', 'children', 'important', 'pleased', 'god']",non-sarc
"['ass', 'mother', 'jib']",non-sarc
"['promise', 'heaven', 'believe', 'people', 'lot', 'pee', 'g']",sarc
"['need', 'responsibility', 'child', 'much', 'needs', 'assisted']",non-sarc
"['exhausted', 'parents', 'sara', 'child', 'given', 'tax', 'relief', 'tax', 'eligible', 'malaysians', 'bak', 'said', 'najib', 'budget', 'country', 'destitute', 'yet', 'opposition', 'said', 'malaysia', 'already', 'bankrupt', 'mufti', 'said', 'read', 'back', 'country', 'financial', 'problems', 'severe', 'new', 'taxation', 'taxation', 'unreasonable', 'gst', 'car', 'tax', 'nav', 'house', 'taxes', 'tomorrow', 'najib', 'said', 'millions', 'people', 'mahsyar', 'quite', 'kosher', 'afterlife']",sarc
"['people', 'taxable', 'parents', 'earn', 'good', 'forgot', 'brim', 'head', 'brain', 'poor']",non-sarc
"['tax', 'relief', 'government', 'alone']",sarc
"['blatant', 'lie']",non-sarc
"['thanks', 'sovereignty', 'help', 'hard', 'way']",non-sarc
"['aged', 'older', 'child', 'dead', 'hmmm']",sarc
"['patient', 'gratitude', 'malaysia', 'still', 'safe']",non-sarc
"['parents', '???', 'support', '???if', 'young', 'people', 'contribute', 'father', 'mak', 'money', 'near', 'village', 'near', 'one', 'may', 'rebate']",non-sarc
"['amen', 'gratitude', 'allah', 'nothing', 'right', 'light', 'also', 'load']",non-sarc
"['release', 'help', 'remain', 'painful', 'daily', 'pain']",sarc
"['person', 'noise']",sarc
"['need', 'impose', 'direct', 'taxation', 'happy', 'story']",sarc
"['ec', 'profit', 'tax', 'form', 'said', 'also', 'mak', 'mak', ""father's"", 'father', 'ray', 'hope', 'home', 'half', 'way', 'house', 'gonna', 'help', 'jenguk', 'big', 'grin', 'haha', 'power', 'saw']",sarc
"['quite', 'year', 'rather', 'long', 'ok', 'well']",sarc
"['want', 'release', 'wrath', 'fire!']",sarc
"['may', 'get', 'tax', 'relief', 'difficult', 'document', 'due', 'profusion', 'mother', 'buy', 'drugs', 'near', 'pharmacy', 'deducted', 'income', 'tax', 'included', 'empty', 'barrel']",sarc
"['give', 'rm']",non-sarc
"[""that's"", 'good']",non-sarc
['amen'],non-sarc
"['believe', 'devastated', 'country']",non-sarc
"['blasted', ""country's"", 'budget', 'donations', 'right', 'ringgit', 'new', 'strong', 'state', 'economy']",sarc
"['main', 'budget']",sarc
"['jelah', 'later', 'saw', 'extent', 'strong', 'thirty', 'different', 'kinds']",sarc
"['head', 'testicles', 'strengthen', 'money', 'run', 'rembat']",non-sarc
"['strengthening', 'position', 'najib']",non-sarc
['strong'],sarc
"['strengthen', 'economy', 'national', 'economy', 'useless']",sarc
"['economy', 'strong', 'sturdy', 'coat', 'pocket']",sarc
"['strong', 'sister', 'verbiage']",sarc
"['go', 'lah', 'lah', 'money', 'ringgit', 'fell']",sarc
"['strong', 'boat', 'every', 'citizen', 'government', 'gst', 'impossible', 'profit', 'foolish', 'government', 'history', 'malaysia']",sarc
"['strengthen', 'pocket', 'money', 'cheater']",sarc
"['year', 'fun', 'stuff', 'price', ""month's"", 'salary', 'work', 'pay', 'house', 'rent', 'bills', 'school', 'children', 'enough', 'food', 'clauses', 'hanging', 'also', 'saw']",non-sarc
"['national', 'best', 'lineup']",sarc
"['thanks', 'jib', 'give', 'us', 'bear', 'large', 'stone']",sarc
"['thanks', 'malaysia', 'always', 'story', 'useless', 'dizzy', 'perkukuh', ""country's"", 'economy,', 'malaysian', 'ringgit', 'falling', 'runs', ""country's"", 'economic', 'spin', 'perkukuh', 'run', '???']",sarc
"['go', 'lah']",non-sarc
"['thanks', 'go']",sarc
"['right', 'tuih']",sarc
"['gst', 'gst', 'brim', 'brim', 'rm', 'rm', 'rm', 'ride', 'fathoms', 'slaughtered', 'thousands', 'rather', 'hundreds', 'gst', 'village']",non-sarc
"['prime', 'minister', 'najib', 'razak', 'good', 'mansuhkan', 'excise', 'charge', 'brim', 'people', 'prime', 'minister', 'tuih', 'mengong']",sarc
"['cogankata', '???', 'love', 'pm', '???what', 'get', 'lost', 'resign', 'pm']",non-sarc
"['anyone', 'want', 'brim', 'please', 'fill', 'form', 'talk', 'much', 'lot', 'people', 'want', 'continue', 'thanks', 'brim', 'yab', 'najib']",non-sarc
"['najib', 'crazy']",non-sarc
"['parliament', 'najib', 'often', 'referred', 'like', 'said', 'exchange', 'dialogue', 'whims', 'like', 'want', ""people's"", 'belongings', 'budget', 'debated,', 'malaysian', 'parliament', 'time', 'opposition', 'support', 'gst', 'print', 'impressive', 'detected', 'last', 'pulse', 'people', 'waiting', 'slaughtered', 'leader', 'eat', 'chicken', 'people', 'eat', 'chicken', 'feathers', 'keluang', 'man', 'jdt']",non-sarc
"['ye', 'happy', 'brim', 'reason', 'second', 'perangat', 'promised', 'year', 'three', 'times']",non-sarc
"['corrupt', 'people']",non-sarc
"['gst', 'use', 'pay', 'brim']",non-sarc
"['brim', 'even', 'people', 'support', 'najib', 'think', 'good', 'money', 'pay', 'reducing', 'cost', 'living', 'right', 'kind', 'electricity']",sarc
"['average', 'citizens', 'need', 'brim', 'unable', 'help', 'long', 'term', 'also', 'wants', 'votes', 'bait', 'fishing', 'concerned']",sarc
"['interest', 'initially', 'brim', 'vote', 'coat', 'hook']",sarc
"['grateful', 'gratitude', 'brim', 'money', 'began', 'run', 'see', 'kinds', 'people', 'requesting', 'donations', 'najib', 'fit', 'brim', 'goods', 'rose', 'knew', 'people', 'suffer', 'longer', 'brim', 'promise', 'get', 'votes', 'bag', 'rice', 'rm']",non-sarc
"['brim', 'amen']",non-sarc
"['brim', 'brim', 'fishing', 'rod', 'votes', 'votes', 'votes', 'brim', 'fishing']",sarc
"['najib', 'thanks', 'resistant', 'front', 'brim', 'make', 'deposit', 'ferrari', 'thank', 'much', 'love', 'umno', 'najib', 'rosmah', 'sister']",sarc
"['jack', 'capable', 'weight', 'even']",sarc
"['najib', 'also', 'always', 'thought', 'good', 'feeling']",non-sarc
"['malaysia', 'bribe', 'happy', 'raise', 'tax', 'useless']",sarc
"['write', 'right', 'brim', 'bowl', 'correctly']",sarc
"['last', 'brim', 'raise', 'cost', 'increase', 'exhausted', 'brim', 'malaysians', 'already', 'pay', 'taxes']",non-sarc
"['b', 'budget', 'national', 'debt', 'budget', 'quite', 'reach', 'target', 'b', 'lighten', 'national', 'debt', 'budget', 'head', 'brain', 'pm']",non-sarc
"['oops', '???', 'majority', 'people', 'thank', 'brim', '???grandpa', 'said', 'jib', 'asked', 'villagers', 'brim', 'also', 'try', 'ask', 'city', 'life', 'properly', 'oil', 'need', 'think', 'kitchen', 'goods']",non-sarc
"['grateful', 'brim']",non-sarc
['puppet'],sarc
"['ye', 'shall', 'brim', 'hold', 'ahead', 'yet', 'hmmm']",sarc
"['thank', 'god', 'determined', 'wrong', 'one']",sarc
"['b', 'haha', 'much']",sarc
"['heard', 'disgust', 'brim', 'brim']",non-sarc
"['need', 'brim', 'long', 'people', 'afflict']",sarc
"['difficult', 'najib', 'brim', 'grandfather', 'go', 'eat', 'rising', 'gasoline', 'huh']",sarc
"['time', 'tun', 'pm', 'brim', 'people', 'could', 'live', 'gst', 'ok', 'people', 'angry', 'people', 'even', 'pay', 'could', 'brim']",non-sarc
"['vote', 'barisan', 'nasional', 'swear', 'vote', 'barisan', 'nasional', 'last', 'longer', ""i'm"", 'pig', ""najib's"", 'choice']",non-sarc
"['yay', 'brim', 'right', 'ringgit', 'climbed', 'also']",sarc
"['budget', 'hear', 'thing', 'scoop', ""she's"", 'puii']",sarc
['turn'],sarc
"['thank', 'god', 'condemned', 'brim', 'try', 'little', 'shy', 'take', 'brim', 'curse', 'like', 'haha', 'also', 'featured', 'national', 'najib', 'time', 'later', 'election', 'vote', 'power', 'person']",sarc
"['right', 'brim', 'address', 'soaring', 'price', 'rise']",non-sarc
"[""jerri's"", 'capital', 'lobbying', 'mr', 'najib', 'wants', 'people']",sarc
"['raise', 'prices', 'arbitrarily', 'remember', 'correctly', 'correct', 'payers', 'brim', 'go']",non-sarc
"['gst', 'gst', 'keep', 'criminals']",non-sarc
"['chicken', 'brand']",sarc
"['brim', 'aii', 'appointment', 'prices', 'goods', 'oil', 'prices', 'fell', 'mks', 'living', 'suh', 'want', 'grateful', 'malaysia', 'still', 'safe']",sarc
"['best', 'brim']",non-sarc
"['brim', 'goods', 'increased']",non-sarc
"['brim', 'brim', 'brim', 'debt', 'plus', 'gst', 'pass', 'soon', 'price', 'goods', 'scramble', 'stand', 'soon', 'drop', 'subsidy', 'somehow', 'keeps', 'going', 'fishing', 'plan', 'terje']",sarc
"['income', 'tax', 'husband', 'later', 'awful', 'puii']",sarc
"['brim', 'fun', 'wait', 'wait', 'next', 'year']",non-sarc
"['write', 'brim', 'apes', 'collar', 'working', 'people', 'pay', 'gst']",non-sarc
"['jerk', 'brim', 'continues', 'unable', 'puii', 'r']",sarc
"['menyampah', '+', 'le', 'disgusted', 'cover', 'mouth', 'responsible']",non-sarc
"['heartbeat', 'away', 'collect', 'millions', 'despotic', 'leaders', 'bald', 'useless', 'malaysia']",sarc
"['rm', 'new', 'kid', 'ride', 'ruckus', 'right', 'gst', 'oil', 'gas', 'electricity', 'increased', 'price', 'story']",non-sarc
"['gst', 'brim', 'hard', 'think', 'ok', 'cancel', 'run', 'money', 'much']",non-sarc
"['ge', 'pushes', 'pay', 'tax', 'toys', 'najib']",sarc
"['need', 'brim', 'others', 'eat?']",non-sarc
