comment_mly,sarc_majority
"['gst', 'rakyat', 'satu', 'hadiah', 'terbesar', 'najib', 'rakyat', 'malaysia']",sarc
"['beg', 'silap', 'mata', 'utk', 'penipuan']",sarc
"['bajet', 'yg', 'tak', 'kesampaian', 'rakyat', 'haru', 'biru', 'buatnya', 'kesenangan', 'tunggu', 'bala', 'yg', 'datang', 'bajet', 'tahun', 'depan', 'beban', 'yg', 'menungu', 'jangan', 'harap', 'kegembiraan', 'siksaan', 'adalah']",sarc
"['senyum', 'xbrenti', 'hg', 'ni', 'noh', 'b', 'xterjejas', 'katakan', 'puak', 'ni', 'yg', 'mnyusahkan', 'rakyat']",sarc
"['gst', 'membantu', 'kerajaan', 'katanya', 'ckp', 'tahun', 'byr', 'pulak', 'income', 'tax', 'tq', 'mmg', 'income', 'kmi', 'ni', 'berjuta', 'kot', 'sebulan']",sarc
"['bencana', 'bakal', 'menimpa']",sarc
"['najib', 'hebat', 'hebat', 'menipu']",sarc
"['beg', 'buku', 'hutang', 'je', 'kat', 'dlam', 'tu']",non-sarc
"['apala', 'yg', 'nak', 'diimbas', 'semua', 'mnyusahkn', 'sj', 'takat', 'brim', 'tu', 'la', 'sgt', 'sekali', 'pergi', 'belanja', 'dapur', 'mncecah', 'ratus', 'masuk', 'gst', 'cuba', 'batalkn', 'gst', 'lega', 'rakyat', 'kerajaan', 'mncekik', 'darah', 'rakyat', 'camtu', 'la']",sarc
"['bajet', 'tipu']",non-sarc
"['xsedar', 'bala', 'je', 'memajang']",non-sarc
"['ko', 'perah', 'gst', 'ko', 'gasak', 'tol', 'keperluaan', 'rakyat', 'konon', 'rakyat', 'susah', 'ko', 'najib']",sarc
"['bajet', 'tuk', 'felda', 'n', 'kerja', 'gov', 'sahaja', 'yg', 'kerja', 'swasta', 'pergi', 'mampus']",sarc
"['sembang', 'sang', 'munafikun']",sarc
"['salah', 'bajet', 'kot', 'ekonomi', 'keperluan', 'najib', 'n', 'rosmah']",sarc
"['bajet', 'jibby', 'tahun', 'ni', 'tambahkn', 'kekayaan', 'dia', 'borosmah']",sarc
"['malaysia', 'hadapan', 'bkn', 'kebelakang']",sarc
"['bajet', 'gula', 'pak', 'menteri', 'yg', 'kaki', 'kipas', 'kita', 'dengar', 'esok', 'pak', 'menteri', 'ckp', 'nya', 'baik', 'tak', 'ada', 'yg', 'tak', 'baik', 'yg', 'aku', 'ni', 'pak', 'menteri', 'kaki', 'kipaslah', 'yg', 'penuh', 'acc']",sarc
['hampeh'],non-sarc
"['bajet', 'bertema', 'sapu', 'kasi', 'licin']",sarc
"['camna', 'nk', 'tngok', 'tngok', 'dia', 'dh', 'meluat', 'sgt', 'apatah', 'lgi', 'gaya', 'ucapan', 'yg', 'menyampah']",non-sarc
"['malaysia', 'kebelakang']",non-sarc
"['bajet', 'yg', 'rakyat', 'kebanyakan', 'rasa', 'setiap', 'tahun', 'yg', 'dirasa', 'yg', 'pasti', 'tol', 'naik', 'minyak', 'naik', 'brg', 'kepeluan', 'naik', 'umno', 'babi']",non-sarc
"['tahniah', 'dsn', 'bajet', 'ekonomi', 'keperluan', 'rakyat', 'janji', 'ditepati', 'jadinye', 'ekonomi', 'membeban', 'dn', 'menyusahkan', 'rakyat', 'janji', 'tk', 'ditepati']",sarc
"['belanjawan', 'lanjiao', 'atas', 'kertas', 'hebat', 'tp', 'satu', 'habuk', 'x', 'buat']",sarc
"['bajet', 'rosmah', 'juta', 'nak', 'pi', 'shooping', 'luar', 'negara', 'lupa', 'pula']",sarc
"['dajal', 'bawak', 'susu']",non-sarc
['boring'],non-sarc
"['bajet', 'sblm', 'ni', 'yg', 'nyata', 'ekonomi', 'najib', 'n', 'kroni', 'melimpah', 'ruah', 'ekonomi', 'keperluan', 'rakyat', 'konon']",sarc
"['hina', 'najib', 'dimata', 'org', 'mengundinya', 'yg', 'mengundi', 'maybe', 'berasa', 'termulia']",sarc
"['bajet', 'ni', 'menipu', 'jer', 'semata', 'atas', 'kertas']",sarc
"['dia', 'kot', 'ni', 'dia', 'ambik', 'balik', 'kot', 'tu', 'dia', 'bg', 'sikit', 'dia', 'ambik', 'balik', 'byk', 'tiap', 'tahun', 'baget', 'mcm', 'tu', 'najibbb']",sarc
"['buang', 'masa']",non-sarc
"['keperluan', 'kerajaan', 'utk', 'bayar', 'balik', 'hutang', 'tahniah', 'najib', 'tahun', 'depan', 'naikkan', 'lagi']",sarc
"['mau', 'imbas', 'najib', 'pm', 'pencuri', 'penipu']",non-sarc
"['kena', 'naik', 'masa', 'depan', 'kukuh']",non-sarc
"['bajet', 'apapn', 'dh', 'x', 'blh', 'percaya', 'temberang', 'je']",non-sarc
"['kutip', 'gst', 'menampung', 'penurunan', 'harga', 'minyak', 'mentah', 'yg', 'jadi', 'mangsa', 'rakyat', 'kepala', 'namanya']",sarc
"['bajet', 'susah', 'kan', 'rakyat', 'malaysia']",non-sarc
"['setakat', 'beg', 'cacatan', 'barang', 'naik', 'apa', 'jng', 'jadi', 'bodoh', 'nk', 'tipu', 'rakyat']",sarc
"['bajet', 'jahanamkan', 'ekinomi', 'negara']",non-sarc
"['tak', 'sempat', 'nk', 'bajet', 'jib', 'oi', 'ini', 'hr', 'gaji', 'esok', 'habis', 'raayat', 'hidup', 'dlm', 'angn']",sarc
"['tajuk', 'dah', 'salah', 'ekonomi', 'keperluan', 'rosmah', 'tu', 'baru']",sarc
"['bentang', 'bajet', 'cri', 'bajet', 'ad', 'la']",sarc
"['pegi', 'meninggal', 'sama', 'ko', 'punya', 'bajet']",non-sarc
"['itu', 'atas', 'kertas', 'tp', 'xde', 'pon', 'realisasikan', 'nanti', 'ad', 'la', 'menteri', 'n', 'pakar', 'ekonomi', 'dr', 'najib', 'cakap', 'bajet', 'ni', 'yg', 'terbaik', 'abad', 'ini']",sarc
"['ala', 'utohhhhh']",non-sarc
"['tk', 'payah', 'nk', 'berbajet', 'sgt', 'laa', 'nnti', 'konon', 'pd', 'rakyat', 'pastu', 'rompak', 'balik', 'dgn', 'gst', 'kenaikan', 'tol', 'minyak', 'harga', 'brg', 'berbagai', 'cukai', 'lgi']",sarc
"['buntang', 'ada', 'la']",sarc
"['undi', 'percaya', 'nak', 'bentang', 'ada', 'je', 'cara', 'nak', 'elak', 'tiap', 'hari', 'keluar', 'berita', 'bajet', 'konon', 'nye', 'nak', 'ampu', 'rakyat', 'puii', 'aku', 'dh', 'mual', 'strategy', 'ko', 'nak', 'kekal', 'jadi', 'pm', 'najib', 'lahanat', 'ko', 'tetap', 'turun', 'jugak', 'pru', 'terus', 'masuk', 'penjara']",sarc
"['bajet', 'kabinet', 'kayu']",sarc
"['kukuh', 'msuk', 'poket', 'geng', 'najid']",sarc
"['kukuh', 'taik', 'palat']",sarc
['terbaekk'],sarc
"['sedapnye', 'baca', 'berita', 'ni', 'sedap', 'baca', 'jer', 'la', 'hakikatnya']",sarc
"['ini', 'carta', 'saja', 'betul', 'punya', 'tentu', 'manis', 'gula', 'tapi', 'pahit', 'dihujung']",sarc
"['yg', 'penjawat', 'awam', 'je', 'swasta', 'ni', 'apa', 'xde', 'yg', 'ada', 'kos', 'sara', 'hdup', 'makin', 'tinggi', 'gaji', 'ckup', 'makan', 'nk', 'smpai', 'hujung', 'bulan', 'haa', 'meranaaa']",sarc
"['najib', 'dh', 'tu', 'org', 'keje', 'kerajaan', 'pasni', 'pastikan', 'jilat', 'najib', 'dgn', 'lebih', 'kuat']",sarc
['gula'],sarc
"['lepas', 'ni', 'smua', 'barang', 'naik', 'yg', 'sedap', 'org', 'gomen']",sarc
"['xadil', 'cmna', 'dorg', 'yg', 'keje', 'sndr', 'yg', 'kje', 'kampung', 'nelayan', 'menoreh', 'getah', 'yg', 'baru', 'nk', 'menapak', 'wlaupun', 'sen', 'trlalu', 'brmakna', 'utk', 'mreka']",non-sarc
"['pekerja', 'swasta', 'diabaikan']",non-sarc
"['oww', 'pnjawat', 'awam', 'jela', 'yg', 'bayar', 'cukai', 'byar', 'gst', 'swasta', 'ni', 'tak', 'la', 'ea', 'bila', 'dah', 'nk', 'pru', 'mase', 'tu', 'la', 'kau', 'bodek', 'golongan', 'swasta', 'ni', 'undi', 'dia', 'nyibai', 'la', 'najib']",sarc
"['ni', 'politik', 'najib', 'mendapat', 'undi', 'pr', 'nanti']",sarc
"['penjawat', 'awam', 'je', 'yg', 'tersedak']",non-sarc
"['lepas', 'ni', 'pakat', 'lah', 'ramai', 'pi', 'pangkah', 'bn', 'ye', 'thorbaekk']",sarc
"['bapak', 'die']",sarc
"['dia', 'duit', 'ambik', 'je', 'la', 'jgn', 'cakap']",sarc
"['hahahahhhahah', 'klaka']",sarc
"['bak', 'kata', 'pakjib', 'ckup', 'la', 'belanja', 'rm', 'je', 'sebulan', 'skrg', 'ni', 'sekelip', 'mata', 'beli', 'barang', 'pon', 'dh', 'rm']",sarc
"['rupanya', 'rakyat', 'penjawat', 'awam']",sarc
"['setakat', 'rm', 'pekerja', 'swasta', 'nak', 'dengki', 'baik', 'muhasabah', 'diri']",non-sarc
"['billion', 'billion', 'juta', 'juta', 'tol', 'duit', 'kerajaan', 'ni', 'kang', 'x', 'cukup', 'senyap', 'je', 'pinjam', 'lagi', 'bertambah', 'la', 'hutang', 'negara', 'nak', 'bising', 'pon', 'x', 'guna']",sarc
"['untunglah', 'gov', 'yg', 'lain', 'ni', 'apa']",sarc
"['baguslah', 'nanti', 'perah', 'gst', 'kow', 'tahun', 'depan', 'hehe']",sarc
['gula'],sarc
"['rm', 'bolah', 'tahan', 'setahun', 'xpun', 'sepuluh', 'tahun']",sarc
"['penjawat', 'awam', 'je', 'company', 'swasta', 'aku', 'bg', 'bulan', 'taik', 'idung', 'masin', 'la', 'ko', 'ni', 'jib']",sarc
"['xnk', 'brim', 'hapuskan', 'tol', 'gst', 'subsidi', 'minyak', 'tu', 'membantu', 'rakyat']",non-sarc
"['tipu', 'je', 'tu', 'caye']",sarc
"['ni', 'salah', 'satu', 'rasuah', 'besar', 'negara', 'rm', 'perjanjian', 'angkat', 'sumpah', 'berahsia', 'melindungi', 'keburukkan', 'pemimpin']",non-sarc
"['aku', 'gaji', 'bulan', 'jer', 'kete', 'umah', 'aku', 'bersyukur', 'sbb', 'allah', 'bg', 'aku', 'nyawa', 'cri', 'sesuap', 'nasi', 'aku', 'brsyukur', 'ape', 'yg', 'aku', 'ada']",non-sarc
"['bli', 'coly', 'rosmah', 'sebelah', 'ja', 'dpt']",sarc
"['swasta', 'mkn', 'angin', 'haha']",sarc
"['kita', 'yg', 'swasta', 'duk', 'nganga', 'bayar', 'cukai', 'sana', 'sini', 'tp', 'habuk', 'tadak', 'alhamdulillah']",sarc
"['sblum', 'ni', 'ada', 'kerajaan', 'bg', 'duit', 'contoh', 'mcm', 'brim', 'voucher', 'buku', 'lain', 'cuba', 'jelaskn', 'sepeti', 'pm', 'sbntr', 'td', 'brsyukur', 'lh', 'ape', 'yg', 'kite', 'ada', 'jgn', 'spai', 'allah', 'tarik', 'blik', 'ape', 'yg', 'kite', 'ada', 'jgn', 'sentap', 'itu', 'lh', 'hakikt', 'nye']",non-sarc
"['oklah', 'thn', 'tk', 'abis', 'lg', 'tu']",sarc
"['anggap', 'lah', 'pmberian', 'ni', 'rezeki', 'dr', 'allah', 'dtgnya', 'alhamdulilah']",non-sarc
"['woww', 'igt', 'byk', 'tu']",sarc
"['najib', 'ngan', 'balaci', 'sume', 'kaki', 'auta']",non-sarc
"['rm', 'ja', 'kalau', 'nk', 'pru', 'stgh', 'bulann', 'ko', 'bg', 'bodohnajib']",sarc
"['serunok', 'le', 'org', 'keje', 'krjaan']",sarc
"['haha', 'mula', 'ucapan', 'najib', 'puji', 'gst', 'bagus', 'tapi', 'tahun', 'lepas', 'xde', 'gst', 'bonus', 'bulan', 'gaji', 'tahun', 'ni', 'ada', 'gst', 'dpt', 'rm', 'je']",sarc
"['pg', 'mmpus', 'laa']",non-sarc
"['alhamdulilah', 'rzki', 'jg', 'wlu']",non-sarc
"['membantu', 'beban', 'rakyat', 'la', 'sngt', 'hahah']",sarc
"['bersukur', 'seadanya']",non-sarc
"['alhamdulilah', 'tahniah', 'dsnajib', 'begitu', 'tenang', 'moral', 'tinggi', 'ketika', 'menyampaikan', 'bajet', 'menjadikanmulut', 'pembakang', 'e', 'l', 'p', 'n', 'g', 'dewan']",non-sarc
['standarddddddddd'],non-sarc
"['bercukur', 'bercukur', 'smpi', 'botak']",sarc
"['nasib', 'ada', 'dr', 'xde', 'langsung', 'tq', 'pm']",non-sarc
"['yela', 'dato', 'aq', 'dll', 'keje', 'basic', 'k', 'sbb', 'gst', 'pny', 'pasal', 'ot', 'smue', 'haram', 'company', 'cut', 'keje', 'free']",non-sarc
"['mcm', 'mna', 'rezki', 'nak', 'masuk', 'klu', 'nak', 'byk', 'bonus', 'bli', 'saham', 'bru', 'dpt', 'ribu', 'byk', 'komen', 'ooi', 'tak', 'nak', 'jgn', 'ambbil']",non-sarc
"['tak', 'taulah', 'beli', 'baju', 'spsang', 'anak', 'beg', 'kasut', 'belum', 'lg', 'buku', 'dia', 'dah', 'tak', 'cukp', 'utk', 'org', 'anak', 'klau', 'org', 'anak', 'em', 'entahlah', 'dgn', 'kos', 'sara', 'hidup', 'ni', 'gaji', 'tak', 'sberapa']",sarc
"['swasta', 'kena', 'cukai', 'lg', 'ada', 'la', 'harapkan', 'bonus', 'hujung', 'tahun', 'jela', 'tu', 'pon', 'ada']",sarc
"['gaji', 'ribu', 'buta', 'ribu', 'kita', 'yg', 'gaji', 'seribu']",sarc
"['yes', 'ooo', 'oooo', 'lalallalalalaaa', 'meme', 'terbaik', 'lah', 'ingt', 'dpt', 'td']",sarc
"['terima', 'kasih', 'kerajaan', 'syukur', 'alhamdulilah']",non-sarc
['alhamdulillah'],non-sarc
['alhamdulillah'],non-sarc
"['untung', 'la', 'dpat', 'rm', 'bahagian', 'swasta', 'dpat', 'plak', 'hahahaks']",sarc
"['cukup', 'brg', 'sume', 'mahal']",non-sarc
"['ok', 'la', 'dr', 'xde', 'lasung', 'tp', 'org', 'melayu', 'mmg', 'sng', 'kne', 'gula', 'bru', 'kne', 'bg', 'dh', 'kokak', 'seronoknya', 'tp', 'lupa', 'skali', 'tu', 'je', 'dpt', 'tp', 'xsedar', 'pokjib', 'hari', 'peras', 'duit', 'rakyat', 'hari', 'ni', 'kita', 'rasa', 'sronok', 'dpt', 'bonus', 'esk', 'lusa', 'bonus', 'diorang', 'plak', 'jgn', 'lupe', 'keh']",sarc
"['rakyat', 'malaysia', 'tak', 'minta', 'brim', 'duit', 'sokongan', 'cuma', 'kurang', 'kan', 'beban', 'rakyat', 'itu', 'je', 'jgn', 'practice', 'duit']",sarc
"['rm', 'tapi', 'kena', 'bayar', 'kali', 'ganda', 'lagi']",non-sarc
"['aii', 'brim', 'dapat', 'gaji', 'naik', 'dan', 'bonus', 'rm', 'tak', 'tau', 'nak', 'bersyukor']",sarc
"['tiap', 'tahun', 'mmg', 'dpt']",sarc
"['x', 'bersyukur', 'ape', 'yg', 'kerajaan', 'kasi', 'ank', 'sekolah', 'kerajaankan']",sarc
"['wooow', 'tuuuu']",sarc
"['penjawat', 'awam', 'jer', 'yg', 'keje', 'swasta', 'nie', 'mmmm']",sarc
"['thun', 'lpas', 'sparuh', 'gaji', 'thun', 'ni', 'thun', 'dpn', 'last', 'skali', 'xde', 'haha']",sarc
"['tmbg', 'blik', 'okla', 'tu']",sarc
"['hmm', 'stgh', 'bln', 'gji', 'pn', 'pyh', 'lahaiiiii']",sarc
"['kedekut', 'jib']",non-sarc
['tq'],non-sarc
"['syukur', 'la', 'tu', 'org', 'nak', 'bagi', 'kalau', 'xmau', 'wang', 'tu', 'sedekah', 'pd', 'yg', 'berhak']",non-sarc
"['bersyukurlah', 'tiada', 'asyik', 'nak', 'komplen', 'je', 'mcm', 'rezeki', 'nak', 'masuk']",sarc
"['alhamdulillah', 'belajar', 'bersyukur']",non-sarc
"['klau', 'dh', 'dky', 'pru', 'bru', 'nk', 'bg', 'baik', 'xpyh', 'nmpk', 'permain', 'najib']",sarc
"['hahaha', 'rakyat', 'dibadutkan']",sarc
"['dah', 'la', 'jib', 'nk', 'simpan', 'duit']",sarc
"['babi', 'pm']",non-sarc
"['pnjawat', 'awm', 'je', 'la', 'rakyat', 'kt', 'mlysia', 'ni']",sarc
"['haha', 'time', 'tdesak', 'hampir', 'makan', 'megi', 'ko', 'rasa', 'bagus', 'tak', 'tiba', 'bersyukur', 'jela', 'dri', 'xde']",non-sarc
"['buto', 'kau', 'ad', 'ngn', 'blnja', 'sblan', 'pon', 'da', 'lbh', 'ringnkn', 'bbn', 'rkyat', 'bknnya', 'rkyat', 'nk', 'duit', 'lma', 'mna', 'je']",sarc
"['untung', 'la', 'penjawat', 'awan', 'yg', 'bahagian', 'swasta', 'jea', 'belom', 'lagi']",non-sarc
