comment,sarc_majority
"['shit', 'out', 'small', 'wince', 'wince', 'revealed', 'large', 'oil', 'pas', 'sen', 'sen', 'raise', 'it', 'off', 'brim', 'raise', 'toll', 'bin', 'jackass'] ['shit', 'revealed', 'raise'] ['nan'] [nan] [nan]",non-sarc
"['ringgit', 'fell', 'people'] ['fell'] ['nan'] [nan] [nan]",non-sarc
"['I', 'keep', 'original', 'budget', 'n', 'Sabah', 'Sarawak', 'only', 'seems', 'normal', 'is', 'afraid', 'losing', 'now', 'have', 'invest', 'close'] ['keep', 'seems', 'is', 'losing', 'have', 'invest'] ['punct2', 'punct2', 'punct2'] ['intj56'] [nan]",sarc
"['do', 'not', 'believe', 'me', 'piss', 'away', 'no'] ['do', 'believe', 'piss'] ['nan'] ['intj55'] [nan]",non-sarc
"['n', 'pm', 'very', 'disappointed', 'voters', 'cabinet', 'ministers', 'people', 'is', 'very'] ['cabinet', 'is'] ['nan'] [nan] [nan]",non-sarc
"['billion', 'project', 'just', 'want', 'satiate', 'can', 'only', 'pass', 'same', 'commission', 'is', 'kind', 'case', 'affordable', 'housing', 'can', 'only', 'see', 'less', 'tax', 'less', 'ringgit', 'ringgit', 'also', 'aid', 'is', 'useless'] ['want', 'satiate', 'can', 'pass', 'is', 'can', 'see', 'is'] ['nan'] [nan] [nan]",non-sarc
"['self', 'indulgent', 'pm'] ['nan'] ['nan'] [nan] [nan]",sarc
['testicles'] ['nan'] ['nan'] ['intj83'] [nan],non-sarc
"['recall', 'more', 'in', 'a', 'year', 'will', 'be', 'people', 'at', 'work', 'think', 'it', 'is', 'safe', 'Malaysia'] ['recall', 'will', 'be', 'think', 'is', 'malaysia'] ['nan'] ['intj69', 'intj69'] ['idsync3']",sarc
"['enough', 'bang', 'jib', 'kid', 'game'] ['kid'] ['nan'] [nan] [nan]",sarc
"['budget', 'piss', 'people'] ['nan'] ['nan'] [nan] [nan]",non-sarc
"['no', 'need', 'budget', 'is', 'Malaysia', 'have', 'entered', 'country', 'charts', 'most', 'right', 'in', 'world', 'money', 'right', 'money', 'billion', 'going', 'spend', 'any', 'income', 'tax', 'goes', 'subsidies', 'already', 'pull', 'free', 'education', 'is', 'not', 'has', 'gone', 'up', 'is', 'no', 'longer', 'enough', 'countries', 'have', 'severe', 'currency', 'has', 'blasted', 'are', 'talking', 'more', 'stable', 'economy', 'has', 'been', 'shattered', 'perish', 'is', 'do'] ['is', 'have', 'entered', 'charts', 'going', 'spend', 'goes', 'pull', 'is', 'has', 'gone', 'is', 'have', 'has', 'blasted', 'are', 'talking', 'has', 'been', 'shattered', 'is', 'do'] ['nan'] ['intj55', 'intj55', 'intj69'] [nan]",non-sarc
"['grateful', 'is', 'is', 'now', 'loud', 'noise', 'in', 'can', 'not', 'change', 'again', 'went', 'dissatisfaction', 'is', 'any', 'country', 'like', 'point'] ['is', 'is', 'can', 'change', 'went', 'is'] ['nan'] ['intj69', 'intj56'] ['idsync4']",sarc
['useless'] ['nan'] ['nan'] [nan] [nan],non-sarc
"['budget', 'only', 'last', 'as', 'long', 'as', 'can', 'budget', 'can', 'not', 'have', 'going', 'budget'] ['can', 'pru', 'can', 'have', 'going'] ['nan'] [nan] [nan]",sarc
"['story', 'on', 'paper', 'it', 'looks', 'nice', 'like', 'but', 'as', 'a', 'result', 'are', 'now', 'facing', 'end', 'year', 'star', 'again', 'next', 'year', 'saw', 'people', 'on', 'back', 'again'] ['looks', 'are', 'facing', 'saw'] ['nan'] ['intj56'] ['idsync5']",sarc
"['no', 'function', 'only', 'budget', 'underpaid', 'young', 'people', 'can', 'not', 'be', 'interesting'] ['can', 'be', 'interesting'] ['nan'] ['intj55'] [nan]",non-sarc
"['I', 'do', 'not', 'understand', 'properly', 'why', 'minimum', 'wage', 'Sabah', 'Sarawak', 'w', 'go', 'only', 'months', 'while', 'here', 'goods', 'more', 'expensive', 'in', 'peninsula', 'minimum', 'wage', 'months', 'things', 'government', 'employees', 'outside', 'region', 'has', 'one', 'regional', 'allowance', 'grade', 'n', 'oh', 'but', 'try', 'Sabah', 'Sarawak', 'peninsula', 'only', 'just', 'weird', 'weird', 'really', 'unfair'] ['do', 'understand', 'go', 'wal', 'has', 'try', 'rm'] ['punct1'] ['intj103'] [nan]",sarc
"['A', 'good', 'budget', 'is'] ['is'] ['nan'] [nan] [nan]",sarc
"['budget', 'each', 'year', 'budget', 'all', 'cronies', 'vacuum', 'all'] ['vacuum'] ['nan'] [nan] [nan]",non-sarc
"['receive', 'donations', 'budget', 'people', 'today', 'pay', 'facts'] ['receive', 'pay'] ['nan'] [nan] [nan]",non-sarc
"['head', 'testicles', 'need'] ['need'] ['nan'] [nan] [nan]",non-sarc
"['pay', 'no', 'attention', 'last', 'ingot', 'people', 'go', 'is', 'difficult', 'as', 'long', 'as', 'I', 'alive', 'happy', 'cronies'] ['should', 'pay', 'go', 'is', 'puii'] ['nan'] ['intj55', 'intj107'] [nan]",sarc
"['tag', 'line', 'before', 'hear', 'pulse', 'people'] ['hear'] ['”'] [nan] [nan]",sarc
"['ask', 'is', 'there', 'a', 'mufti', 'uncle', 'ear'] ['is', 'azan', 'kfc'] ['nan'] ['intj65'] [nan]",sarc
"['not', 'stretch', 'stretch', 'most', 'people', 'makes', 'no', 'different'] ['stretch', 'stretch', 'makes'] ['nan'] ['intj55'] [nan]",non-sarc
"['I', 'tired', 'hearing', 'same', 'budget', 'also', 'run', 'budget'] ['tired', 'hearing', 'run'] ['nan'] [nan] [nan]",sarc
"['b', 'budget', 'inches', 'thick', 'face', 'shameless'] ['nan'] ['nan'] [nan] [nan]",sarc
"['phobias', 'is', 'look', 'he', 'right'] ['is'] ['nan'] [nan] [nan]",sarc
"['cabinet', 'sycophant'] ['nan'] ['nan'] [nan] [nan]",sarc
"['Ingot', 'r', 'lazy', 'self', 'budget'] ['r'] ['nan'] [nan] [nan]",non-sarc
"['cool', 'budget'] ['nan'] ['nan'] [nan] [nan]",sarc
"['No', 'more', 'will', 'tapir', 'dock'] ['will', 'tapir'] ['nan'] [nan] [nan]",sarc
['blotted'] ['blotted'] ['nan'] [nan] [nan],non-sarc
"['landscape', 'waste', 'time', 'bandits', 'masked', 'devil', 'budget'] ['waste', 'masked'] ['nan'] [nan] [nan]",sarc
"['I', 'do', 'not', 'believe', 'deceived', 'people', 'oppressed', 'under', 'minister', 'he', 'was', 'all', 'right', 'eat', 'people'] ['do', 'believe', 'oppressed', 'was', 'eat'] ['nan'] [nan] [nan]",sarc
"['people', 'were', 'taking', 'all', 'things', 'were', 'na', 'breathe', 'more', 'air', 'pass', 'payable', 'be', 'adopted', 'water', 'purifier'] ['were', 'taking', 'were', 'pass', 'shall', 'be', 'adopted'] ['punct1'] ['intj69'] [nan]",sarc
"['budget', 'dead', 'people'] ['nan'] ['nan'] [nan] [nan]",sarc
"['chills', 'just', 'felt', 'like', 'he', 'wanted', 'stretch', 'budget', 'afternoon'] ['felt', 'wanted', 'stretch'] ['nan'] ['intj92'] [nan]",sarc
"['trick', 'only', 'as', 'long', 'as', 'he', 'wants', 'rake', 'in', 'money', 'people', 'as', 'long', 'as', 'it', 'is', 'difficult', 'dredges', 'people', 'happy', 'idiot', 'minister', 'wood'] ['trick', 'wants', 'rake', 'is', 'dredges'] ['punct2', 'punct2'] [nan] [nan]",sarc
"['self', 'is', 'not', 'dead'] ['is'] ['nan'] [nan] [nan]",sarc
"['other', 'kid', 'in', 'tone', 'voice', 'let', 'see', 'who', 'touches'] ['see', 'touches'] ['nan'] [nan] ['idsync7']",sarc
"['budget', 'is', 'strengthen', 'its', 'position', 'as', 'pm', 'not', 'people', 'after', 'a', 'few', 'years', 'he', 'began', 'wring', 'neck', 'people', 'cache', 'afro', 'hair'] ['is', 'strengthen', 'began', 'wring', 'rosmah'] ['nan'] [nan] ['idsync8', 'idsync9']",sarc
"['people', 'greatest', 'gifts', 'Malaysians'] ['nan'] ['nan'] [nan] [nan]",sarc
"['bag', 'trick', 'fraud'] ['nan'] ['nan'] [nan] ['idsync10']",sarc
"['unfulfilled', 'budget', 'commotion', 'in', 'wait', 'at', 'pleasure', 'comes', 'next', 'year', 'budget', 'burden', 'being', 'left', 'waiting', 'joy', 'torture', 'do', 'not', 'expect', 'is'] ['comes', 'being', 'left', 'waiting', 'do', 'expect', 'is'] ['nan'] [nan] ['idsync11', 'idsync12']",sarc
"['does', 'not', 'stop', 'smile', 'b', 'unaffected', 'say', 'troublesome', 'tribal', 'people'] ['does', 'stop', 'say'] ['nan'] [nan] [nan]",sarc
"['help', 'government', 'said', 'it', 'was', 'capable', 'paying', 'income', 'tax', 'income', 'thanks', 'indeed', 'have', 'millions', 'infant', 'month'] ['help', 'said', 'was', 'paying', 'have'] ['nan'] ['intj53'] [nan]",sarc
"['calamity', 'will', 'befall'] ['will', 'befall'] ['punct2', 'punct2', 'punct2'] [nan] [nan]",sarc
"['is', 'a', 'great', 'great', 'fool'] ['is'] ['nan'] [nan] [nan]",sarc
"['book', 'bag', 'in', 'debt', 'only'] ['nan'] ['nan'] [nan] [nan]",non-sarc
"['is', 'kid', 'just', 'scanned', 'all', 'troublesome', 'point', 'brim', 'was', 'it', 'was', 'all', 'go', 'shopping', 'already', 'reached', 'kitchen', 'try', 'cancel', 'hundred', 'incoming', 'relieved', 'government', 'choke', 'blood', 'wrong', 'kind'] ['is', 'scanned', 'was', 'was', 'go', 'shopping', 'reached', 'try', 'cancel', 'incoming', 'relieved', 'choke'] ['nan'] ['intj69'] [nan]",sarc
"['budget', 'planners'] ['nan'] ['nan'] [nan] [nan]",non-sarc
"['unconscious', 'plague', 'only', 'lengthwise'] ['plague'] ['nan'] [nan] [nan]",non-sarc
"['wring', 'hit', 'right', 'needs', 'people', 'said', 'people', 'suffer'] ['wring', 'gst', 'hit', 'said', 'suffer', 'najib'] ['nan'] [nan] [nan]",sarc
"['n', 'budget', 'only', 'government', 'business', 'only', 'private', 'work', 'please', 'go', 'dead'] ['go'] ['nan'] ['intj61'] [nan]",sarc
"['hypocrisy', 'chat'] ['nan'] ['nan'] [nan] [nan]",sarc
"['none', 'coat', 'budget', 'economy', 'needs', 'n'] ['needs'] ['nan'] [nan] [nan]",sarc
"['budget', 'year', 'has', 'increased', 'wealth', 'extravagant'] ['has', 'increased'] ['nan'] [nan] [nan]",sarc
"['Malaysia', 'forward', 'rather', 'backward'] ['backward'] ['punct1'] [nan] [nan]",sarc
"['sugar', 'budget', 'minister', 'hear', 'fan', 'away', 'tomorrow', 'minister', 'said', 'all', 'good', 'there', 'is', 'nothing', 'good', 'I', 'am', 'minister', 'feet', 'be', 'full', 'fan', 'account'] ['hear', 'said', 'is', 'am', 'be'] ['nan'] ['intj65'] [nan]",sarc
['useless'] ['nan'] ['nan'] [nan] [nan],non-sarc
"['themed', 'swipe', 'smooth', 'budget'] ['themed'] ['nan'] [nan] [nan]",sarc
"['do', 'see', 'look', 'he', 'tired', 'very', 'mention', 'style', 'very', 'crap'] ['do', 'see', 'tired'] ['punct1', 'punct1', 'punct1'] [nan] [nan]",non-sarc
"['Malaysia', 'backwards'] ['nan'] ['nan'] [nan] [nan]",non-sarc
"['budget', 'most', 'people', 'think', 'each', 'year', 'feels', 'right', 'definitely', 'needs', 'more', 'goods', 'rose', 'oil', 'is', 'more', 'pig'] ['think', 'feels', 'needs', 'rose', 'is'] ['punct1', 'punct1', 'punct1', 'punct1'] ['intj69', 'intj69'] [nan]",non-sarc
"['congratulations', 'budget', 'promises', 'fulfilled', 'economic', 'needs', 'people', 'promote', 'economic', 'burden', 'inconvenience', 'people', 'promise', 'not', 'kept'] ['promises', 'fulfilled', 'promote', 'promise', 'kept'] ['punct2', 'punct2', 'punct2', 'punct2', 'punct2', 'punct2', 'punct2', 'punct2', 'punct2', 'punct2', 'punct2', 'punct2', 'punct2', 'punct2', 'punct2'] [nan] [nan]",sarc
"['budget', 'on', 'paper', 'all', 'great', 'but', 'did', 'not', 'create', 'a', 'dust'] ['did', 'create'] ['nan'] [nan] ['idsync13']",sarc
"['budget', 'in', 'many', 'millions', 'going', 'shopping', 'abroad', 'not', 'forget', 'also'] ['going', 'shopping', 'should', 'forget'] ['punct1', 'punct1'] [nan] [nan]",sarc
"['devils', 'bring', 'milk'] ['bring'] ['nan'] [nan] [nan]",non-sarc
['boring'] ['nan'] ['nan'] [nan] [nan],non-sarc
"['budget', 'before', 'real', 'economy', 'abound', 'n', 'crony', 'economic', 'needs', 'people', 'said'] ['said'] ['nan'] [nan] [nan]",sarc
"['despicable', 'in', 'eyes', 'people', 'who', 'vote', 'do', 'not', 'vote', 'maybe', 'feel', 'noblest'] ['vote', 'do', 'vote', 'feel'] ['nan'] [nan] ['idsync14']",sarc
"['budget', 'is', 'simply', 'cheating', 'on', 'paper'] ['is', 'cheating'] ['nan'] [nan] [nan]",sarc
"['take', 'back', 'coat', 'is', 'coat', 'a', 'bit', 'he', 'took', 'back', 'many', 'budget', 'each', 'year'] ['take', 'is', 'took'] ['nan'] [nan] [nan]",sarc
"['waste', 'time'] ['nan'] ['nan'] [nan] [nan]",non-sarc
"['government', 'needs', 'pay', 'back', 'debt', 'congratulates', 'raise', 'again', 'next', 'year'] ['needs', 'pay', 'congratulates'] ['punct2'] [nan] [nan]",sarc
"['want', 'scan', 'pm', 'thieves', 'swindlers'] ['want', 'scan'] ['nan'] ['intj69'] [nan]",non-sarc
"['hit', 'up', 'a', 'strong', 'future'] ['hit'] ['nan'] [nan] [nan]",non-sarc
"['any', 'budget', 'I', 'can', 'not', 'believe', 'garrulous', 'only'] ['can', 'believe'] ['nan'] [nan] [nan]",non-sarc
"['quotation', 'accommodate', 'decrease', 'in', 'crude', 'oil', 'prices', 'will', 'be', 'victims', 'head', 'but', 'name'] ['will', 'be'] ['nan'] [nan] ['idsync15']",sarc
"['difficult', 'budget', 'Malaysians'] ['nan'] ['punct2'] [nan] [nan]",non-sarc
"['so', 'bag', 'defects', 'make', 'up', 'is', 'so', 'stupid', 'I', 'do', 'not', 'cheat', 'people'] ['defects', 'make', 'is', 'do', 'cheat'] ['nan'] ['intj69'] [nan]",sarc
"['Hell', 'budget', 'economy'] ['nan'] ['nan'] [nan] [nan]",non-sarc
"['I', 'had', 'no', 'jib', 'budget', 'tomorrow', 'payday', 'is', 'exhausted', 'people', 'live', 'in', 'delusion'] ['had', 'is', 'live'] ['nan'] ['intj55', 'intj104'] [nan]",sarc
"['title', 'was', 'already', 'one', 'economic', 'needs', 'new', 'right'] ['was'] ['”'] [nan] [nan]",sarc
"['stretch', 'budget', 'were', 'budget', 'there', 'is'] ['stretch', 'were', 'is'] ['punct1', 'punct1', 'punct1'] ['intj65'] [nan]",sarc
"['same', 'can', 'go', 'die', 'got', 'budget'] ['can', 'go', 'got'] ['nan'] [nan] [nan]",non-sarc
"['it', 'all', 'on', 'paper', 'but', 'no', 'later', 'realize', 'there', 'is', 'no', 'minister', 'n', 'economists', 'say', 'is', 'best', 'budget', 'in', 'century'] ['realize', 'is', 'say', 'is'] ['nan'] ['intj55', 'intj65', 'intj55'] [nan]",sarc
['testicles'] ['nan'] ['nan'] ['intj83'] [nan],non-sarc
"['I', 'really', 'do', 'not', 'have', 'budget', 'it', 'later', 'said', 'people', 'behind', 'robbery', 'off', 'correct', 'hike', 'oil', 'prices', 'various', 'tax', 'again'] ['do', 'have', 'said'] ['nan'] [nan] [nan]",sarc
"['There', 'is', 'staring'] ['is', 'staring'] ['nan'] [nan] [nan]",sarc
"['a', 'vote', 'no', 'confidence', 'in', 'star', 'kid', 'there', 'is', 'only', 'way', 'avoid', 'going', 'out', 'daily', 'budget', 'news', 'said', 'it', 'wanted', 'I', 'sick', 'strategy', 'are', 'going', 'remain', 'so', 'pm', 'evil', 'keep', 'going', 'down', 'also', 'continue', 'go', 'jail'] ['is', 'avoid', 'going', 'said', 'wanted', 'are', 'going', 'remain', 'keep', 'going', 'continue', 'go', 'jail'] ['punct2', 'punct2', 'punct2'] ['intj55', 'intj65', 'intj107'] ['idsync17']",sarc
"['budget', 'wood', 'cabinet'] ['nan'] ['nan'] [nan] [nan]",sarc
"['strong', 'pockets', 'gang'] ['gang'] ['nan'] [nan] [nan]",sarc
"['solid', 'manure'] ['nan'] ['nan'] [nan] [nan]",sarc
['best'] ['nan'] ['nan'] [nan] [nan],sarc
"['nice', 'yummy', 'read', 'news', 'just', 'read', 'is', 'essentially'] ['read', 'read', 'is'] ['nan'] [nan] [nan]",sarc
"['chart', 'has', 'not', 'necessarily', 'just', 'right', 'sweet', 'like', 'sugar', 'but', 'bitter', 'at', 'end'] ['has'] ['nan'] [nan] ['idsync18']",sarc
"['civil', 'servants', 'only', 'private', 'any', 'existing', 'no', 'cost', 'living', 'higher', 'salary', 'enough', 'eat', 'while', 'I', 'languished', 'end', 'month'] ['existing', 'eat', 'languished'] ['nan'] ['intj55', 'intj92'] [nan]",sarc
"['easy', 'person', 'working', 'next', 'government', 'make', 'sure', 'panting', 'stronger'] ['working', 'make', 'panting'] ['nan'] [nan] [nan]",sarc
['sugar'] ['nan'] ['nan'] [nan] [nan],sarc
"['past', 'all', 'more', 'delicious', 'government'] ['nan'] ['nan'] [nan] [nan]",sarc
"['not', 'just', 'work', 'own', 'people', 'working', 'fishing', 'village', 'is', 'just', 'about', 'tap', 'rubber', 'tread', 'even', 'sen', 'Too', 'mean'] ['work', 'working', 'is', 'tap', 'sen'] ['punct1', 'punct1', 'punct1', 'punct1'] [nan] [nan]",non-sarc
"['private', 'sector', 'workers', 'ignored'] ['ignored'] ['nan'] [nan] [nan]",non-sarc
"['oh', 'verbiage', 'civil', 'servants', 'who', 'pay', 'taxes', 'pay', 'private', 'is', 'not', 'na', 'ea', 'it', 'is', 'time', 'flatter', 'private', 'groups', 'vote', 'evening', 'he', 'is'] ['pay', 'pay', 'is', 'ea', 'is', 'flatter', 'vote', 'is'] ['punct1'] ['intj103'] [nan]",sarc
"['political', 'win', 'votes', 'elections', 'later'] ['win'] ['nan'] [nan] [nan]",sarc
"['civil', 'servants', 'only', 'choke'] ['nan'] ['punct1'] [nan] [nan]",non-sarc
"['last', 'is', 'a', 'lively', 'discussion', 'going', 'cross', 'line', 'again', 'national', 'best'] ['is', 'going'] ['nan'] [nan] [nan]",sarc
['father'] ['nan'] ['nan'] [nan] [nan],sarc
"['he', 'took', 'only', 'money', 'is', 'not', 'much', 'say'] ['took', 'is', 'say'] ['nan'] [nan] [nan]",sarc
['funny'] ['nan'] ['nan'] ['intj92'] [nan],sarc
"['said', 'Mr', 'enough', 'shopping', 'only', 'a', 'month', 'now', 'overnight', 'buy', 'any', 'goods', 'dah'] ['said', 'rm', 'buy', 'dah'] ['nan'] ['intj56'] [nan]",sarc
"['apparently', 'all', 'civil', 'servants'] ['nan'] ['nan'] [nan] [nan]",sarc
"['so', 'I', 'envy', 'both', 'private', 'employee'] ['envy'] ['nan'] [nan] [nan]",non-sarc
"['billion', 'billion', 'million', 'million', 'government', 'money', 'properly', 'is', 'not', 'enough', 'quietly', 'borrow', 'again', 'increased', 'national', 'debt', 'is', 'not', 'going', 'noise'] ['is', 'borrow', 'increased', 'is', 'going', 'noise'] ['nan'] [nan] [nan]",sarc
"['Fortunately', 'other', 'government'] ['nan'] ['punct1', 'punct1', 'punct1'] ['intj69'] [nan]",sarc
"['good', 'riddance', 'later', 'can', 'wring', 'next', 'year'] ['can', 'wring'] ['nan'] ['intj92'] ['idsync20']",sarc
['sugar'] ['nan'] ['nan'] [nan] [nan],sarc
"['gives', 'can', 'not', 'even', 'hold', 'a', 'year', 'ten', 'years'] ['gives', 'can', 'hold'] ['nan'] [nan] [nan]",sarc
"['civil', 'servants', 'can', 'only', 'private', 'company', 'months', 'I', 'was', 'salty', 'booger', 'is', 'jib'] ['can', 'was', 'is', 'jib'] ['punct1'] [nan] ['idsync21']",sarc
"['do', 'not', 'want', 'delete', 'brim', 'just', 'right', 'subsidy', 'on', 'oil', 'it', 'again', 'help', 'people'] ['do', 'want', 'delete', 'help'] ['nan'] [nan] [nan]",non-sarc
"['all', 'planning', 'only', 'have', 'believe', 'it'] ['planning', 'have', 'believe'] ['nan'] [nan] [nan]",sarc
"['is', 'one', 'country', 'corruption', 'is', 'an', 'agreement', 'lift', 'secrecy', 'oath', 'protect', 'cons', 'leader'] ['is', 'is', 'lift', 'protect'] ['nan'] [nan] [nan]",non-sarc
"['I', 'pay', 'car', 'home', 'only', 'reason', 'I', 'thank', 'God', 'life', 'find', 'a', 'bite', 'rice', 'I', 'grateful', 'I', 'have'] ['pay', 'find', 'have'] ['nan'] ['intj69'] [nan]",non-sarc
"['buy', 'side', 'only'] ['buy'] ['nan'] [nan] [nan]",sarc
"['private', 'outings'] ['nan'] ['nan'] ['intj92'] [nan]",sarc
"['a', 'private', 'sit', 'agape', 'pay', 'taxes', 'here', 'there', 'but', 'no', 'thank', 'dust'] ['pay'] ['nan'] ['intj65', 'intj55'] [nan]",sarc
"['previously', 'government', 'money', 'a', 'wide', 'brim', 'example', 'vouchers', 'other', 'books', 'like', 'trying', 'explain', 'just', 'now', 'pm', 'thankful', 'have', 'is', 'gods', 'do', 'pull', 'back', 'have', 'is', 'fact', 'do', 'not', 'snap', 'it'] ['trying', 'explain', 'pm', 'have', 'is', 'do', 'pull', 'have', 'is', 'do', 'snap'] ['punct1', 'punct1', 'punct1', 'punct1'] ['intj56', 'intj69', 'intj69'] [nan]",non-sarc
"['okay', 'not', 'hold', 'it', 'out', 'again'] ['okay', 'hold'] ['nan'] [nan] [nan]",sarc
"['provision', 'deem', 'coming', 'thank', 'god'] ['shall', 'deem', 'coming'] ['nan'] [nan] [nan]",non-sarc
"['wow', 'remember', 'much', 'it'] ['remember'] ['nan'] ['intj72'] [nan]",sarc
"['all', 'feet'] ['auta'] ['nan'] [nan] [nan]",non-sarc
"['only', 'want', 'half', 'months', 'stupid'] ['want', 'pru'] ['nan'] [nan] [nan]",sarc
"['le', 'fun', 'government', 'work'] ['fun'] ['nan'] [nan] [nan]",sarc
"['began', 'praise', 'nice', 'last', 'year', 'but', 'no', 'can', 'bonus', 'pay', 'year', 'last', 'month', 'only'] ['began', 'can', 'rm'] ['nan'] ['intj92', 'intj55'] [nan]",sarc
"['I', 'am', 'dead'] ['am'] ['nan'] [nan] [nan]",non-sarc
"['thank', 'luck', 'though'] ['thank'] ['nan'] [nan] [nan]",non-sarc
"['assist', 'people', 'burden', 'is', 'very'] ['assist', 'is'] ['nan'] ['intj92'] [nan]",sarc
"['grateful', 'potluck'] ['nan'] ['nan'] [nan] [nan]",non-sarc
"['congratulates', 'thank', 'so', 'quiet', 'high', 'morale', 'in', 'budget', 'makes', 'up', 'opposition', 'm', 'e', 'l', 'o', 'n', 'g', 'o', 'go', 'in', 'hall'] ['dsn', 'makes', 'go'] ['nan'] [nan] [nan]",non-sarc
['standard'] ['nan'] ['nan'] [nan] [nan],non-sarc
