comment,sarc_majority
PM n menteri kabinet sgt3 mengecewakn pengundi dn rakyat...mmg sgt.....,non-sarc
"Projek bilion2 hnya nak mengenyangkan kamu je ....lulus dpt komisen sama la mcm kes SRC , buat rumah mampu milik hnya mampu lihat , kurangkan tax 20-30 hinggit tolak pulak bantuan persekolahan 100 hinggit , hampeh la ko najib",non-sarc
Pm syok sendiri..,sarc
Ala utuh,non-sarc
IMBAS KEMBALI: apa yang naik dalam tahun 2015...dan apa akan jadi pada rakyat pada 2016 #renungkan_laa  #selamat_beramal_untuk_malaysia,sarc
Cukup2 la bang jib nak game rakyat,sarc
Bajet kencing rakyat,non-sarc
TAK PAYAH NK BAJET SGTLAH NAJIP.. MALAYSIA INI DAH MASUK CARTA NERGARA YG PALING BANYAK TOL DI DUNIA.. DUIT TOL DUIT GST.. 2.6 BILION MANA KAU PIGI BELANJAKAN..MANA INCUMTAKES MANA PERGI.. SUBSIDI DAH TARIK.. PENDIDIKAN PERCUMA X ADA.. SEMUA BENDA SUDAH NAIK.. MANA YG X CUKUP LAGI.. NEGARA SUDAH PARAH MATA WANG SUDAH JAHANAM.. APA YG KAU CKP STABIL LAGI EKONOMI MALAYSIA NI.. DAH HANCUR BINASA DAH KAU KERJAKAN..,non-sarc
Bersyukur lah apa yang ada sekarang ni..bising bising dlm fb bukan boleh mengubahkan segalanya...Tak puas hati lagi pergi lah mana mana negara yang anda suka..titik,sarc
Haprakkkk.....,non-sarc
bajet je slagi engko dpt mbajet..lpas pru xdpt dh engko nk bajet2..,sarc
Cerita atas kertas memang nampak cantik spt seblom2 nie tp hasilnya kita hadap skrg...nie tahun nie bentang lg ujung tahun depan kita tgk rakyat telentang lg...,sarc
"mcm xda function je bajet nie.. org muda yg bergaji kecil, xdapat ape2 menarik pon..",non-sarc
Aku tak faham betul kenapa gaji minimum Sabah Sarawak dan W.P Labuan HANYA RM920/bulan sedangkan kat sini barangan lebih mahal dari di Semenanjung yg dpt gaji minumum RM1000/bulan? Wal hal kalau kakitangan kerajaan asal luar daerah punyalah besar elaun wilayah. Gred N17 RM750 ohhhh tapi cuba kalau Sabah Sarawak WP Labuan di Semenanjung. Hanya RM630 jak. Pelik pelik and really unfair,sarc
Bajet bagus lah..,sarc
Bajet belanjawan tiap2 thun smua nya utk kroni2 hampa smua..,non-sarc
Budget kau terima derma rakyat bayar GST hari ini fakta,non-sarc
Keperluan kepala Butoh hang,non-sarc
"Lepas Pru, kami pekakkan telinga, lantak pi la rakyat hidup susah, asalkn aku dan kroni senang, puihh..",sarc
Tag line sblm pru... “kami mendengar denyut nadi rakyat”,sarc
mintak2 la ada mufti azan kan dia kat telinga uncle kfc ni..,sarc
Bentang ke x bentang to most of the rakyat makes no different....,non-sarc
"Bosan dh nk dngar bajet2 ni.sama je,lari jgak bajet",sarc
Bajet 2.6b Muka tebal 14 inci Tak tahu malu,sarc
Fobia tul la tengok dia ni..,sarc
Budjet untuk rosmah mansur dan cabinet penjilat najib....,sarc
Lantak ko r.....malas nk layan bajet najib......,non-sarc
bajet cool.,sarc
ad lagi ka tenuk2 dok pcaya,sarc
hapuskn GST,non-sarc
Buang masa bentang bajet.. Penyamun bertopeng syaitan,sarc
aku xcaya dgn najib ne..satu2 rakyat ditipu dan ditindas..menteri bawah dia pyn semua makan hak rakyat...,sarc
Apa yg utk rakyat tu? Lepas ni semua benda pun naik sampaikan udara nak sedut pun kena bayar(kena pakai air purifier),sarc
Bajet kasi mati rakyat,sarc
Rasa mcm seram sejuk je dia nk bentang bajet ptg ni huhu,sarc
Menipu je dia ni.selagi nk keruk duit rakyat selagi tu la dia keruk xpk org ssh sng.bodoh najib&menteri kayu!!,sarc
Mampus x layan -_-,sarc
Apa lagi nak di kelentongnya mari kita tengok siapa yang kena.....,sarc
"bajet berkenaan adalah untuk mengukuhkan kedudukannya sebagai pm, bukan untuk rakyat, dan selepas berberapa tahun dia mula memulas tengkuk rakyat untuk tembolok dia dan sirosmah rambut apro tu",sarc
GST KEPADA RAKYAT SATU HADIAH TERBESAR DARI NAJIB KEPADA RAKYAT MALAYSIA,sarc
Beg silap mata utk penipuan,sarc
Bajet yg Tak kesampaian.Rakyat haru biru di buatnya.Kesenangan di tunggu bala yg datang.Bajet tahun depan beban yg sedang menungu.Jangan harap kegembiraan siksaan adalah.,sarc
Senyum xbrenti hg ni noh...2.6b xterjejas katakan....puak2 ni yg mnyusahkan rakyat...,sarc
"Gst membantu kerajaan katanya,ckp tahun byr pulak income tax,tq2 mmg income kmi ni berjuta2 kot sebulan..",sarc
bencana bakal menimpa!!!!!,sarc
"najib memang hebat, hebat menipu",sarc
Beg buku hutang  je kat dlam tu..,non-sarc
Apala yg nak diimbas..semua mnyusahkn sj..takat brim tu apa la sgt..sekali pergi belanja dapur pun mncecah 4 ke 5ratus masuk gst...cuba batalkn gst..lega rakyat...kerajaan mncekik darah rakyat camtu la..,sarc
Bajet TIPU,non-sarc
Xsedar ke bala je memajang,non-sarc
Ko perah gst Ko gasak tol... Keperluaan Rakyat konon... Rakyat susah Sebab Ko najib,sarc
Bajet hanya tuk felda n kerja gov sahaja....yg kerja swasta sila pergi mampus...,sarc
Sembang sang munafikun,sarc
Salah bajet kot. ...ekonomi keperluan najib n rosmah,sarc
Bajet jibby untuk tahun ni tambahkn lagi kekayaan dia dan borosmah...,sarc
Malaysia ke hadapan?bkn kebelakang ke,sarc
bajet gula2 untuk pak menteri yg kaki kipas.kita dengar esok pak menteri ckp semua nya baik2 tak ada yg tak baik.yg aku ni pak menteri kaki kipaslah yg hendak penuh acc,sarc
Hampeh....,non-sarc
Bajet bertema sapu kasi licin,sarc
camna nk tngok???? tngok dia dh meluat sgt apatah lgi gaya ucapan yg amat menyampah.,non-sarc
Malaysia kebelakang...,non-sarc
bajet 2015 apa yg rakyat kebanyakan rasa??setiap tahun apa yg dirasa??yg pasti tol naik.minyak naik.brg kepeluan naik..umno is babi,non-sarc
Tahniah DSN!!! Bajet 2015 Ekonomi keperluan rakyat!!! Janji ditepati!!! JADINYE... EKONOMI MEMBEBAN DN MENYUSAHKAN RAKYAT!!! Janji tk ditepati!!!,sarc
Belanjawan lanjiao...atas kertas semua hebat tp satu habuk pun x buat..,sarc
"Bajet pada Rosmah berapa juta? Nak pi shooping di luar negara, jangan lupa pula?",sarc
Dajal bawak susu..,non-sarc
boring,non-sarc
Bajet sblm ni yg nyata ekonomi najib n kroni melimpah ruah ... ekonomi keperluan rakyat konon...,sarc
hina najib dimata org tidak mengundinya..yg mengundi maybe berasa termulia,sarc
Bajet ni menipu jer..semata2 atas kertas.,sarc
DIA BAGI KOT NI... DIA AMBIK BALIK KOT TU... DIA BG SIKIT... DIA AMBIK BALIK BYK... TIAP2 TAHUN BAGET MCM TU NAJIBBB....,sarc
Buang masa,non-sarc
Keperluan kerajaan utk bayar balik hutang...tahniah najib! Tahun depan naikkan lagi.,sarc
Apa  mau imbas najib pm pencuri dan penipu,non-sarc
Kena naik untuk masa depan yang kukuh.,non-sarc
bajet apapn dh x blh percaya..temberang je,non-sarc
"Kutip Gst menampung penurunan harga minyak mentah yg jadi mangsa rakyat, kepala but namanya.",sarc
Bajet 2016 susah kan rakyat malaysia....!,non-sarc
Setakat beg cacatan barang naik buat apa.jng jadi bodoh nk tipu rakyat,sarc
Bajet jahanamkan ekinomi negara,non-sarc
Tak sempat nk bajet jib oi ..ini hr gaji esok habis .. Raayat hidup dlm angn2,sarc
Tajuk pun dah salah. “Ekonomi Keperluan Rosmah” .Tu baru betul,sarc
Bentang bajet??? Cri bajet ad la,sarc
boleh pegi meninggal sama ko punya bajet,non-sarc
Itu semua atas kertas... Tp xde pon realisasikan.. Nanti ad la menteri n pakar ekonomi dr najib cakap bajet 2016 ni yg terbaik di abad ini...,sarc
Ala utohhhhh,non-sarc
"Tk payah nk berbajet sgt laa... Nnti konon2 bagi pd rakyat...pastu rompak balik dgn GST, kenaikan tol....minyak, harga brg2 & berbagai2 cukai lgi...",sarc
Buntang ada la..,sarc
Bila undi tidak percaya nak d bentang.. Ada2 je cara nak elak tiap hari keluar berita bajet! Konon nye nak ampu rakyat! Puii Aku dh mual strategy ko nak kekal jadi PM najib lahanat! Ko tetap akan turun jugak PRU14 terus masuk penjara,sarc
"Bajet, untuk kabinet kayu",sarc
Kukuh msuk poket geng2 najid,sarc
Kukuh taik palat,sarc
Terbaekk....,sarc
Sedapnye baca berita ni...sedap baca jer la hakikatnya..,sarc
Ini carta saja...betul punya belum tentu ..manis umpama gula tapi pahit dihujung,sarc
yg penjawat awam je.. swasta ni..apa pun xde..yg ada kos sara hdup makin tinggi.. gaji ckup2 makan.. sementara nk smpai hujung bulan haa.. meranaaa..,sarc
najib dh bagi 500 tu.org keje kerajaan pasni pastikan jilat najib dgn lebih kuat lagi,sarc
gula2,sarc
Lepas ni smua barang naik..yg sedap org gomen..,sarc
"Xadil...cmna dorg yg keje sndr? Yg kje kampung? Nelayan, menoreh getah? Yg baru nk menapak? Wlaupun 10sen trlalu brmakna utk mreka...",non-sarc
Pekerja swasta DIABAIKAN.....,non-sarc
Oww pnjawat awam jela yg bayar cukai..byar gst..swasta ni tak la ea?bila dah nk pru mase tu la kau bodek golongan swasta ni untuk undi dia...nyibai la najib...,sarc
ni politik najib untuk mendapat undi apabila PR nanti.,sarc
Penjawat awam je ke yg tersedak?,non-sarc
Lepas ni pakat lah ramai2 pi pangkah bn lagi ye. Thorbaekk..,sarc
bapak die,sarc
"Dia bagi duit..ambik je la,jgn banyak cakap..",sarc
Hahahahhhahah klaka.,sarc
bak kata pakjib... ckup la 500... belanja rm41.60 je sebulan...  skrg ni sekelip mata beli 2 barang pon dh rm50...,sarc
rupanya semua rakyat penjawat awam,sarc
Setakat rm500 pekerja swasta nak dengki baik muhasabah diri...,non-sarc
billion billion juta juta... banyak tol duit kerajaan ni.. kang x cukup senyap2 je pinjam lagi.... bertambah la hutang negara.... nak bising pon x guna....,sarc
Untunglah gov....yg lain2 ni apa????,sarc
baguslah..nanti boleh perah gst kow2 tahun depan hehe,sarc
Gula2,sarc
Rm500 bolah tahan setahun xpun sepuluh tahun....,sarc
"penjawat awam dapat 500 je? company (swasta) aku pun bg 2.5 bulan, taik idung masin la ko ni jib.",sarc
"Xnk Brim,  Just hapuskan tol , Gst , and bagi subsidi pada minyak tu lagi membantu rakyat",non-sarc
semua tipu je tu. Usah caye,sarc
Ni salah satu rasuah besar negara.Rm500.00 adalah perjanjian untuk angkat sumpah berahsia untuk melindungi keburukkan pemimpin.,non-sarc
Aku gaji 1 bulan 1000 jer.. Kete 400 .. Umah 250.. Aku bersyukur sbb allah bg aku nyawa.. Untuk cri sesuap nasi.. Aku brsyukur ape yg aku ada..,non-sarc
500 bli coly rosmah sebelah ja dpt,sarc
swasta mkn angin haha....,sarc
Kita yg swasta duk nganga bayar cukai sana sini tp habuk tadak .alhamdulillah ..,sarc
Sblum ni ada ke kerajaan bg duit ??? Contoh mcm brim.. Voucher buku dan lain2 ... ? Cuba jelaskn sepeti pm sbntr td.. Brsyukur lh ape yg kite ada.. Jgn spai allah tarik blik ape yg kite ada.. Jgn sentap itu lh hakikt nye...,non-sarc
"Oklah 500,  10 thn tk abis lg tu",sarc
"Anggap lah pmberian ni rezeki dr allah dtgnya,alhamdulilah",non-sarc
woww igt byk ke 500 tu,sarc
Najib ngan balaci2 sume kaki auta...,non-sarc
"Rm 500 ja...kalau nk pru, stgh bulann ko bg..#bodohnajib",sarc
Serunok le org keje krjaan,sarc
"Haha mula2 ucapan najib puji gst bagus tapi tahun lepas xde gst boleh bagi bonus 1/2 bulan gaji, tahun ni ada gst dpt rm500 je...",sarc
pg mmpus laa,non-sarc
Alhamdulilah rzki jg wlu 500,non-sarc
Membantu beban rakyat la sngt. . .. Hahah,sarc
bersukur seadanya..,non-sarc
"Alhamdulilah tahniah DSNajib yang begitu tenang, moral yang tinggi ,ketika menyampaikan bajet2016 menjadikanmulut pembakang M E L O P O N G dalam dewan .",non-sarc
standarddddddddd........,non-sarc
Bercukur...bercukur..smpi botak,sarc
Nasib Ada....dr xde langsung... Tq pm....,non-sarc
Yela dato.. aq dll keje basic 2k. Sbb gst pny pasal. Ot smue haram. Company cut. Keje free.,non-sarc
mcm mna rezki nak masuk klu nak byk bonus bli saham bru dpt ribu2 byk komen ooi tak nak jgn ambbil,non-sarc
"Tak taulah...beli baju spsang anak ,beg ,kasut,belum lg buku dia...dah tak cukp utk 1 org anak....klau  3 org anak...em ...entahlah.......dgn kos sara hidup ni....gaji pun tak sberapa....",sarc
Swasta kena cukai lg ada la.. Harapkan Bonus hujung tahun jela.. tu pon kalau ada..,sarc
Yang gaji 4 ribu...buta2 dapat 2 ribu..kita yg gaji seribu...,sarc
Yes.500 ooo oooo. .... lalallalalalaaa ... meme terbaik lah...ingt dpt 50 td....,sarc
Terima kasih kerajaan ..syukur alhamdulilah,non-sarc
Alhamdulillah..,non-sarc
Alhamdulillah,non-sarc
Untung la dpat rm500...bahagian swasta dpat apa plak????hahahaks,sarc
Mana cukup 500.....brg sume mahal,non-sarc
ok la dr xde lasung...tp org melayu mmg sng kne gula2...bru kne bg 500 dh kokak seronoknya...tp lupa skali tu je dpt...tp xsedar pokjib hari2 peras duit rakyat...hari ni kita boleh rasa sronok dpt bonus..esk lusa bonus diorang plak...jgn lupe...keh3,sarc
"Rakyat Malaysia tak minta,,,Brim,,,duit sokongan,,,,cuma kurang kan beban rakyat,,,,itu je,,,,jgn practice. Bagi duit,,,,",sarc
Bagi rm 500...tapi kena bayar 5 kali ganda lagi..,non-sarc
Aii Brim dapat...gaji naik..dan bonus rm 500...tak tau nak bersyukor ???,sarc
tiap tahun.mmg dpt 500 pun,sarc
X pernah bersyukur ape yg kerajaan kasi....ank2 sekolah kerajaankan..,sarc
Wooow banyak tuuuu,sarc
Penjawat awam jer...yg keje swasta nie..mmmm..,sarc
Thun lpas sparuh gaji.. .thun ni 500.. thun dpn 300.. .last skali.. xde.. haha,sarc
buat tmbg blik. okla tu,sarc
Hmm stgh bln gji pn pyh ke lahaiiiii ...,sarc
Kedekut jib,non-sarc
Tq,non-sarc
Syukur la tu org nak bagi..kalau xmau wang tu sedekah pd  yg berhak.,non-sarc
"BERSYUKURLAH . Daripada tiada. Asyik nak komplen je. mcm mana rezeki nak masuk. -,-",sarc
"Alhamdulillah,  belajar bersyukur..",non-sarc
klau dh dky pru bru nk bg baik xpyh nmpk permain najib,sarc
Hahaha..... Rakyat dibadutkan......,sarc
500 dah la.jib nk simpan duit,sarc
Babi pm,non-sarc
Pnjawat awm je la rakyat kt mlysia ni,sarc
haha kalau time tdesak hampir2 makan megi ko rasa bagus tak tiba2 dapat 500? bersyukur jela dri xde...,non-sarc
Buto kau.. apa ad ngn 500.... blnja sblan pon da lbh 500... ringnkn bbn rkyat... bknnya rkyat nk duit... 500 than lma mna je.,sarc
Untung la penjawat awan...yg bahagian swasta jea belom lagi...,non-sarc
Bagusla..tahun lepas dapat setengah bulan gaji..tahun ni dapat 500..Nanti nak baru nak pilihanraya baru nak bagi sebulan gaji..nampak sgt rasuahnya...,sarc
Yeeeeaaayyyyy tok jib bg duitttt..,non-sarc
500 je...ingatkan setengah bln gaji..xpea..adil..suma dpt 500..hahaha,non-sarc
ltk jwtn la jib.rmbat pnya byk bgi sikit..,sarc
Rugi jd pjawat awam sbb x dpt br1m. Lantak kaw lah jib.. pru bakal tiba,non-sarc
Gula2..,sarc
bersyukurlah apa yg org beri.,non-sarc
tu je...,sarc
haha 500 .hahahahahahhahahahhaah .brim banyak lagi,sarc
Sebulan gaji pun tak boleh nak beri ker ..? ambik gst berbilion bilion ...sembang ekonomi tinggi melangit  .. hujung2 apa pun tak der ...,sarc
"Ahamdulillah, RM500 pun jadilah...",non-sarc
alah propa je lebih..pelepasan cukai org cam aku ape pekdahnye dpt,sarc
Amin,non-sarc
X perlu la nk harap sangt duit 1500 tu..bukankah jaga ibubapa itu tanggunjawab ank2..redha Allah itu penting...,non-sarc
Bugima jib.,non-sarc
Janji2 syurga x leh percaya dh byk kenci g rakyat,sarc
"takyh bg la tu tnggungjawb ank2, byk lg yg prlu dibantu!",non-sarc
"abis ibubapa yg sara ank ni x diberi pelepasan cukai.. cukai x layak diberi pd rakyat Malaysia. bak kata najib td dlm bajet tu negara kita blom papa kedana lg kenapa pembangkang kata Malaysia da muflis. sdgkan mufti kata bila kita baca balik bila negara ni ada masalah kewangan yg teruk baru bleh bg cukai tp cukai yg berpada pada. ni gst lg cukai kereta,rmh dan sbnya semua cukai. x pela najib esok2 jwb la pd berjuta rakyat kat mahsyar. aku x halal dunia akhirat..sekian",sarc
Kalu rkyt yg x kna cukai  tp mnyara kedua2 ibubapa mcmane plak???ooo aq lupa...brim 1k...kpala hotak ko lh bangsat...,non-sarc
Pelepasan cukai untuk org kerajaan je...,sarc
ni pembohongan yg nyata,non-sarc
terima kasih lah kerajaan skrg tolong org susah sebegini..????,non-sarc
yg berumur 60 tahun ke atas.. yg kebawah xda.. huurrmm.. matilanak..,sarc
sabar ja....syukur malaysia ku masih aman..,non-sarc
"Apa maksud “menyara ibu bapa” ? Kalau anak ramai & semua contribute bg duit kt mak ayah kt kampung, mana satu yg dpt rebat? Semua ke?",non-sarc
Aminn..syukur alhamdulillah...drpd tak de lngsung..dpt juge ringan kn beban...,non-sarc
"Pelepasan, bukan dia bagi bantuan $1500 tu!! Sakit harian tetap perit.",sarc
Org bg pun bising...,sarc
Tk yah kenakan cukai langsung lahh.Senang crita,sarc
Untung lah..ec borang cukai konon jg mak ayah tp mak ayah kat umh sinar harapan atau  half way house...bkn nak bantu jengok pon x kuase..hahaha..senyum lebar nmpak,sarc
Mn cukup setahun 1500..agak2lah..sebulan 1500 ok jgk..,sarc
Hanya mahu pelepasan dr azab dan siksa api neraka??,sarc
Tp nk dpt pelepasan cukai tu susah... nk kna documen yg bermcm ragam... saya beli ubat2an mak kt farmasi pn... ada yg ditolak drp dimasukkn dlm cukai pendapatan... tong kosong je lebeyyyy....,sarc
Sepatutnya beri lah rm1500,non-sarc
Bgus lah..,non-sarc
Aminn,non-sarc
hancur negara aku percaya,non-sarc
Itu bajet jahanam kn negara .... bg derma kat org bt ape.. betol kn ringgit tu dulu br blh kukuh ekonomi negara ..,sarc
Bajet main2,sarc
Tgk jelah nanti aetakat mana dia punya kukuh....jgn kukih tang lain sudah,sarc
perkukuh kepala butuh duit dah habis kau rembat,non-sarc
Lebih kepada pengukuhan posisi Najib.,non-sarc
Sangat lah kukuh,sarc
perkukuh ekonomi negara je.. ekonomi rkyt hampehhh...,sarc
Kukuh ekonomi kot mna.ka kukuh kocek masing2,sarc
Kukuh untuk ko dgn kak mah jela,sarc
Poda la kau.....duit ringgit jatuh,sarc
Memang la kukuh..d perahnye setiap rakyat dgn GST..mustahil kerajaan x untung..kerajaan paling bebal dlm sejarah msia.,sarc
Kkuhkan duit poket kau penipu,sarc
"Mcm mn ni tahun2 brng asek naik hrga, yg kerja seorng,gaji sebln bt byr bil, sewa rmh, ank sekolh, bt mkn pn tk cukup,pasl2 gantung diri juga nampk.",non-sarc
Terbaikkkk BN..,sarc
Terimakasih Jib kerena beri kami pikul batu2 besar.,sarc
Terima kasih mlysia.... Sllu crita di pusing toya dia prkukuh ekonomi ngra sdangkan rnggit mlysia trllu jtuh skg.... Hbis tu prkkuh ekonomi ngara spin xhbisﾲ,sarc
podahhhhhhh,non-sarc
Thanks  :p,sarc
Betul tuuuuuu......,sarc
Sebelum gst brim rm 900. Lepas gst brim rm1000. Naik rm 100. Depa bantai gst beratus beribu drp orang kampung,non-sarc
#perdanamenteri #najibrazak pandai sangat ... cukai tu yang mansuhkan... bebankan rakyat...brim tu bagi kat perdana menteri tuhh mengong,sarc
Guna  lagi cogankata “I love PM”  APA jadi Sekarang ! Now get lost PM letak jawatan.,non-sarc
Sapa2 yang tak mahu br1m jgn isi borang  jgn cakap banyak sebab banyak takyat  yg  mahu br1m diteruskan.Terima kasih kpd YAB Najib,non-sarc
najib sudah gila,non-sarc
Dlm parlimen najib sering sebut... Suka saya menyatakan disini.....Tukar DAILOG....ikut suka hati aku. Seolah2.nya.....apa yang nak diberi pada rakyat. Adalah kepunyaannya.Sepatutnya...selepas BAGET..perlu dibahaskan. Tapi..0000000.inilah...parlimen Malaysia.Bila masa pula pembangkang sokongGST? Satu Satunya PM yang paling hebat. boleh dapat mengesan nadi rakyat.Tungguuuu ! Lepas kita semua akan disembelih. Pemimpin makan DAGING AYAM.. Rakyat makan BULU  AYAM. from..KLUANG MAN .....JDT.,non-sarc
ye ke.saya di sini merasa tak puas hati di sebap kan BR1M.kenapa kami dapat perangat kedua je mana janji doran tu dalam setahun dapat tiga kali..,non-sarc
Rasuah rakyat lg,non-sarc
Guna gst utk bayar brim.,non-sarc
Bagi brim pun org tak sokong ko najib. Pikir2kan la. Baik duit tu byr buat kurangkan kos hidup rakyat mcm tol dan letrik.,sarc
Rakyat rata2 x perlukan BRIM...x mampu menolong in long term pun. Nak pancing. Undi mcm. Umpan x mengena,sarc
Apa. La faedah nya BRIM ..awalnya utk pancing undi kot,sarc
Dapat jer brim wah semua bersyukur... syukur.. habis duit mula lah.. kesian tgk y.. macm peminta derma najib buat rakyat.. pas bg brim barg semua naik.. pas tu dia tau rakyat susah dia bg lg Brim.. janji dapt raih undi.. bg beras sekampit bg rm 50..,non-sarc
Amin  .bRIm naik.,non-sarc
Brim pancing undi.. brim pancing undi.. brim pancing undi..,sarc
tq najib..brim thn dpan boleh la aku wat deposit ferari..ohh tq yg amat umno..i love najib kakmah,sarc
Cakap jek...t mcm2 naik..berat badan pown naik....??????,sarc
Sentiasa sangka baik najib juga ada perasaan seperti kita ..,non-sarc
"Beri  Rasuah 1 M'sia ,supaya senang nak naikkan cukai. Haprakk  lah",sarc
Hg naik brim lps tu naik tol... mangkok betui la engkau ne,sarc
"Naikkan Br1m pastu kos semakin naik, abis y xdpat brim ni bukan rakyat malaysia ker? Kami pun bayar cukai..",non-sarc
bajet 2015 hutang negara mencecah 800b ...bajet 2016 ne agak2 mencapai sasaran 1000b x hutang negara...bajet meringankan kepala hotak pm..,non-sarc
"Ooops “ mejoriti rakyat berterimakasih dapat BRIM” kata tok jib kita....tanya org kpung....tak de brim pun boleh hidup....cuba tanya org bandar....dpat $1000 ....tol,minyak,barang,dapur.segalanya..kena 2000....fikir2kan.",non-sarc
Sya bersykur dpt brim..,non-sarc
WAYANG,sarc
ye la bg brim sume naik..so ape gune...thn dpn ape la lg naik...hurm....,sarc
"Shukur apa yg  dtentukan Tuhan,bgi salah tk bgi salah????????????",sarc
naik berapa b hahahahah,sarc
Menyampah nyer aku dgr brim ni...buat apa brim!!!,non-sarc
Ta payah bagi BR1M....asalkan jgn tindas rakyat,sarc
Xpayahla bg brim Atok Najib t ko mkn balik ngan kenaikan minyak petrol..HUH,sarc
Masa tun m jd pm tak brim pun..blh hidup rakyat. Tak ada gst pun..ok saja rakyat..rakyat tak marah pun. Ini semua kena bayar...itu ke dapat brim ini..?,non-sarc
Aku selama ni undi BN..aku bersumpah xakan undi BN lg...pas lepas ni pilihan aku...babi najib,non-sarc
Yeayy...brim naik 60 hengget.tol pun naik gak.,sarc
Bajet 2016 xdengar pn xape..benda yg sm..bg xseberapa sekali dia kaut lebih dr yg dia bg...puiii..,sarc
Pusing2,sarc
alhamdulillah... syukur dapat br1m. yang mengutuk tu cuba2 la malu sikit. kutuk tp ambil br1m jgk.. hahahaaa.... klu x suka najib(BN) sgt. time pilihanraya nanti guna la kuasa undi korang tu sebaiknya..,sarc
naik kan brim ...alamatnya harga barang melambung2 naiknya ...,non-sarc
tu jerr larr modal pak najib nk melobi rakyat....,sarc
Dia naikkan harga tol sewenang2...ingat semua pembayar tol tu dpt brim ke???pi m****s!!,non-sarc
GST tetap GST malaun,non-sarc
Cap ayam punya org,sarc
"Xdpt br1m pun xpa aiihhh jnji harga barang turun, harga minyak turun, mks sara hidup turun... jgn nk suh aku bersyukur sbb malaysia masih aman..",sarc
Terbaik lah Br1m...,non-sarc
Tak guna bagi BR1M ...barang lagi naik lselepas ini,non-sarc
"Brim, brim, brim.. pas tu tmbah utang pas tu naik lg gst pas tu harga brg berebut rebut naik lg pas tu tarik lg subsidi ntah pas tu apa lg plan dia.. asik nak mncinggg je kerje..",sarc
Naik ler incometax husband aku nnt. Hak tui pui,sarc
bestnya dpat brim..xsbar nk tggu thun dpan..,non-sarc
Bg naik brim pastu kerah rakyat kerja mcm beruk utk byr gst...,non-sarc
skli jerk aq dpt brim pastu tros xdpt...puihh r,sarc
menyampah + meluat. yg dpt ttp le mulut ni yg xdpt kna tggng.,non-sarc
